Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,502.95,504.07,484.11,485.0,9401400,ADBE
2020-12-21,499.86,506.92,491.5,498.05,6131900,ADBE
2020-12-28,500.12,506.04,494.89,505.61,5941500,ADBE
2021-01-04,485.1,500.79,466.0,500.3,14946900,ADBE
2021-01-11,458.08,482.59,457.49,481.99,14161900,ADBE
2021-01-18,472.44,476.35,453.34,461.17,13581200,ADBE
2021-01-25,458.77,477.7,455.07,474.51,14708700,ADBE
2021-02-01,492.12,495.1,459.82,462.28,11403800,ADBE
2021-02-08,498.84,499.99,489.21,494.26,8123400,ADBE
2021-02-15,479.12,506.51,476.1,500.03,8481800,ADBE
2021-02-22,459.67,477.35,450.12,470.48,16472400,ADBE
2021-03-01,440.83,473.8,423.71,465.68,16479100,ADBE
2021-03-08,444.3,454.07,420.78,439.76,15504100,ADBE
2021-03-15,441.5,457.41,437.77,444.4,14484900,ADBE
2021-03-22,469.09,469.77,444.86,444.86,20292800,ADBE
2021-03-29,483.34,487.04,461.5,469.03,11398800,ADBE
2021-04-05,504.04,504.6,480.5,483.69,10350500,ADBE
2021-04-12,525.08,525.44,498.44,499.29,9890300,ADBE
2021-04-19,515.84,524.0,504.06,523.13,9615400,ADBE
2021-04-26,508.34,520.45,507.15,513.57,8346700,ADBE
2021-05-03,488.73,511.74,475.92,510.97,10032200,ADBE
2021-05-10,486.56,489.04,468.5,487.54,10517700,ADBE
2021-05-17,488.07,496.23,472.0,487.03,8582500,ADBE
2021-05-24,504.58,511.37,492.01,494.64,10747100,ADBE
2021-05-31,504.5,506.5,487.34,504.54,7133600,ADBE
2021-06-07,541.26,541.85,502.0,504.99,11242400,ADBE
2021-06-14,565.59,570.0,535.72,545.04,19117800,ADBE
2021-06-21,579.66,582.0,560.35,565.99,10581500,ADBE
2021-06-28,593.07,594.08,581.0,582.71,8013700,ADBE
2021-07-05,604.5,607.67,592.48,595.87,7671700,ADBE
2021-07-12,606.1,611.62,596.48,606.0,7376500,ADBE
2021-07-19,625.87,631.64,598.14,602.75,8611600,ADBE
2021-07-26,621.63,626.0,610.64,624.18,6870500,ADBE
2021-08-02,631.38,632.47,612.93,625.87,6126800,ADBE
2021-08-09,637.31,638.43,620.6,634.98,6083200,ADBE
2021-08-16,647.34,652.0,623.63,637.03,6966000,ADBE
