Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,456.19,460.09,444.5,447.35,1732900,ASML
2020-12-21,461.78,463.23,439.22,439.96,1715200,ASML
2020-12-28,466.21,470.93,457.33,465.66,1521100,ASML
2021-01-04,486.3,491.6,468.14,477.94,5206100,ASML
2021-01-11,504.24,522.3,477.4,478.43,4187900,ASML
2021-01-18,544.34,548.49,507.21,509.49,4799600,ASML
2021-01-25,510.6,543.16,499.46,537.36,5196900,ASML
2021-02-01,528.43,532.23,518.05,523.26,3222800,ASML
2021-02-08,571.62,574.93,533.36,533.36,3366600,ASML
2021-02-15,568.19,581.86,550.65,578.87,2985000,ASML
2021-02-22,542.08,569.68,534.98,561.71,5016600,ASML
2021-03-01,503.8,558.59,479.95,547.13,5455100,ASML
2021-03-08,513.92,524.3,479.01,503.22,5022300,ASML
2021-03-15,523.28,541.09,512.37,514.91,4270000,ASML
2021-03-22,598.08,599.63,531.0,542.61,7227000,ASML
2021-03-29,609.0,611.29,569.26,587.65,5774400,ASML
2021-04-05,606.35,624.2,591.11,622.91,5129300,ASML
2021-04-12,617.21,619.36,593.25,603.71,3753600,ASML
2021-04-19,641.32,641.68,585.76,609.52,6630800,ASML
2021-04-26,619.52,645.85,617.22,637.55,3130000,ASML
2021-05-03,629.53,632.13,588.75,628.7,4317900,ASML
2021-05-10,620.98,624.22,575.45,621.5,5648700,ASML
2021-05-17,612.8,625.29,581.56,605.77,4558100,ASML
2021-05-24,647.55,651.35,619.07,620.74,3743200,ASML
2021-05-31,655.06,659.65,632.82,656.44,3031900,ASML
2021-06-07,668.22,675.65,648.52,652.06,2843000,ASML
2021-06-14,643.33,681.58,640.93,670.6,4154800,ASML
2021-06-21,657.85,669.11,644.61,650.45,2531700,ASML
2021-06-28,659.12,676.63,646.65,670.04,3238600,ASML
2021-07-05,662.78,666.96,637.35,660.94,2664600,ASML
2021-07-12,659.01,693.12,658.48,671.07,3401500,ASML
2021-07-19,717.22,725.5,643.83,646.0,4958000,ASML
2021-07-26,735.05,736.93,702.76,726.86,3411700,ASML
2021-08-02,750.9,772.34,735.78,738.95,2943900,ASML
2021-08-09,756.35,764.09,744.44,757.56,2707200,ASML
2021-08-16,755.6,758.27,729.75,755.26,2383800,ASML
2021-08-23,798.49,800.26,761.73,762.17,2758100,ASML
2021-08-30,822.64,827.31,793.02,805.22,3097000,ASML
2021-09-06,823.37,839.18,814.79,829.52,3275100,ASML
2021-09-13,824.31,858.9,817.18,833.29,4895900,ASML
2021-09-20,832.91,851.98,795.4,804.2,3952600,ASML
2021-09-27,711.15,812.83,698.26,808.42,7929200,ASML
2021-10-04,700.08,722.52,679.72,698.77,6145200,ASML
2021-10-11,756.77,757.0,691.54,692.9,4988800,ASML
2021-10-18,767.86,775.37,726.9,742.09,6243800,ASML
2021-10-25,779.28,787.95,751.78,766.63,3748500,ASML
2021-11-01,811.99,819.31,763.56,773.56,3437800,ASML
2021-11-08,818.54,823.65,783.44,822.27,3089500,ASML
2021-11-15,823.86,846.88,814.32,821.78,3522300,ASML
2021-11-22,751.63,826.26,745.86,821.78,4106800,ASML
2021-11-29,741.54,800.33,730.32,764.12,5829100,ASML
2021-12-06,751.46,777.95,712.59,729.39,4069400,ASML
2021-12-13,720.73,768.76,714.37,750.24,5031800,ASML
2021-12-20,770.27,774.41,715.52,718.55,2516600,ASML
2021-12-27,765.21,785.54,763.5,763.53,2129200,ASML
2022-01-03,726.72,768.3,701.45,764.82,6192400,ASML
2022-01-10,715.6,747.69,673.48,688.68,7996100,ASML
2022-01-17,667.74,712.28,667.72,712.24,5997800,ASML
2022-01-24,619.91,661.88,596.55,640.17,9110100,ASML
2022-01-31,627.45,664.38,618.3,625.42,5091100,ASML
2022-02-07,603.83,655.72,600.96,628.73,4185100,ASML
2022-02-14,622.66,640.12,595.91,601.82,4241600,ASML
2022-02-21,641.2,641.22,576.38,613.69,5274200,ASML
2022-02-28,571.23,646.44,559.03,622.49,7157500,ASML
2022-03-07,563.09,602.64,537.06,593.4,6196700,ASML
2022-03-14,653.44,656.85,554.88,576.25,7524100,ASML
2022-03-21,660.65,670.98,637.43,651.87,5348500,ASML
2022-03-28,641.79,686.85,636.11,653.68,4315300,ASML
2022-04-04,587.19,655.06,586.3,646.36,4647700,ASML
2022-04-11,574.64,598.31,569.0,583.45,3675900,ASML
2022-04-18,584.0,627.2,572.62,573.85,5699600,ASML
2022-04-25,541.86,577.06,522.86,569.7,8521000,ASML
2022-05-02,529.59,571.16,523.87,537.03,5531200,ASML
2022-05-09,530.64,533.51,493.12,513.11,6332000,ASML
2022-05-16,515.66,545.21,497.59,516.05,4802700,ASML
2022-05-23,564.57,565.03,520.68,531.53,4672800,ASML
2022-05-30,545.47,565.95,539.04,565.74,2564600,ASML
2022-06-06,504.71,564.64,502.65,560.92,3155500,ASML
2022-06-13,458.08,495.68,446.96,481.99,5754000,ASML
2022-06-20,498.64,498.92,460.71,473.21,3574100,ASML
2022-06-27,435.32,500.38,429.16,498.36,4827700,ASML
2022-07-04,438.34,440.62,399.36,405.67,6383000,ASML
2022-07-11,460.29,460.44,415.46,435.06,5352500,ASML
2022-07-18,517.03,529.21,455.33,468.01,8491200,ASML
2022-07-25,555.91,558.31,501.82,518.15,5762500,ASML
2022-08-01,558.69,573.63,540.73,554.75,4046000,ASML
2022-08-08,558.72,565.12,517.77,560.7,4558800,ASML
2022-08-15,528.94,560.33,528.14,552.08,3522800,ASML
2022-08-22,494.68,524.05,493.54,513.45,3861900,ASML
2022-08-29,453.21,496.05,447.1,491.17,5507400,ASML
2022-09-05,486.01,488.12,448.46,455.31,3698400,ASML
2022-09-12,453.27,495.71,446.14,491.6,4660800,ASML
2022-09-19,423.09,461.92,414.56,445.89,4652300,ASML
2022-09-26,402.92,430.15,401.56,421.1,5224000,ASML
2022-10-03,421.26,460.54,408.42,410.92,6939300,ASML
2022-10-10,367.78,421.08,352.28,420.92,9215100,ASML
2022-10-17,448.4,449.03,377.19,382.65,10025400,ASML
2022-10-24,474.54,481.35,445.84,456.35,8827700,ASML
2022-10-31,454.73,469.19,424.04,464.7,6915200,ASML
2022-11-07,560.87,562.99,456.93,462.01,10548900,ASML
2022-11-14,577.14,591.89,553.58,559.26,6927900,ASML
2022-11-21,575.86,593.52,558.72,565.5,3215800,ASML
2022-11-28,589.35,599.91,561.19,577.74,5154500,ASML
2022-12-05,581.56,594.66,570.97,588.76,4481700,ASML
2022-12-12,558.81,625.98,550.46,580.75,6838900,ASML
2022-12-19,536.48,568.19,527.88,558.55,4504600,ASML
2022-12-26,531.64,540.37,514.72,531.3,2956700,ASML
2023-01-02,579.76,582.51,531.03,546.12,3499100,ASML
2023-01-09,641.87,642.89,596.25,597.41,5001100,ASML
2023-01-16,631.33,657.85,610.09,633.51,4622600,ASML
2023-01-23,649.36,666.44,637.33,640.28,7260000,ASML
2023-01-30,661.26,679.72,629.82,632.44,5620300,ASML
2023-02-06,638.62,665.22,631.12,647.93,4201400,ASML
2023-02-13,635.7,664.03,631.27,642.72,4388800,ASML
2023-02-20,602.98,627.91,597.47,622.13,4128700,ASML
2023-02-27,621.51,623.45,588.21,615.69,4800400,ASML
2023-03-06,586.24,617.35,584.51,611.7,5545100,ASML
2023-03-13,617.91,622.51,575.2,578.35,5031200,ASML
2023-03-20,631.41,657.16,619.39,630.21,4753800,ASML
2023-03-27,663.76,666.17,616.64,639.05,4269400,ASML
2023-04-03,640.76,664.63,639.0,658.0,3065000,ASML
2023-04-10,649.61,655.99,629.42,633.75,4137900,ASML
2023-04-17,618.67,632.13,601.52,622.84,7387800,ASML
2023-04-24,621.0,625.34,590.68,624.88,5630500,ASML
2023-05-01,634.13,637.93,612.88,619.19,3205700,ASML
2023-05-08,633.24,645.84,624.21,637.38,3014500,ASML
2023-05-15,678.7,684.44,630.66,632.62,5174400,ASML
2023-05-22,719.71,725.95,646.61,675.63,7252800,ASML
2023-05-29,708.68,730.66,697.56,726.75,4564600,ASML
2023-06-05,700.08,710.61,687.45,708.67,4057200,ASML
2023-06-12,705.97,728.03,704.13,706.07,4914200,ASML
2023-06-19,682.51,708.76,680.58,704.73,3236300,ASML
2023-06-26,708.77,713.91,684.79,687.58,4427900,ASML
2023-07-03,681.38,720.92,677.95,717.81,4057400,ASML
2023-07-10,737.4,754.96,680.35,688.2,5918800,ASML
2023-07-17,678.08,743.25,658.5,728.09,10424900,ASML
2023-07-24,702.53,705.6,662.51,669.9,5398000,ASML
2023-07-31,663.09,706.78,657.9,705.39,4181400,ASML
2023-08-07,648.63,681.51,648.13,676.72,3815300,ASML
2023-08-14,642.31,653.5,630.11,639.98,3990500,ASML
2023-08-21,638.08,667.42,623.24,640.87,5095600,ASML
2023-08-28,649.36,661.14,639.4,644.01,3550700,ASML
