Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,82.65,83.84,80.27,82.97,1025700,EXPO
2020-12-21,83.89,84.19,80.21,81.18,599200,EXPO
2020-12-28,85.06,85.98,83.42,84.5,564700,EXPO
2021-01-04,87.7,90.11,82.6,85.53,1292300,EXPO
2021-01-11,88.99,90.64,87.41,90.47,873000,EXPO
2021-01-18,88.09,92.44,86.16,89.93,1178200,EXPO
2021-01-25,78.02,87.78,77.59,87.78,1471900,EXPO
2021-02-01,84.79,88.18,77.65,78.9,1132400,EXPO
2021-02-08,89.01,90.09,84.9,86.73,962700,EXPO
2021-02-15,90.33,91.43,87.97,89.75,623900,EXPO
2021-02-22,91.14,95.36,89.9,90.06,1199300,EXPO
2021-03-01,89.57,93.29,86.38,92.49,1153500,EXPO
2021-03-08,93.44,94.75,89.62,90.12,854800,EXPO
2021-03-15,90.39,93.44,89.15,93.44,1294700,EXPO
2021-03-22,91.43,91.89,87.23,90.89,973600,EXPO
2021-03-29,93.57,94.37,90.11,90.11,756600,EXPO
2021-04-05,95.56,95.62,92.44,94.59,896100,EXPO
2021-04-12,95.48,96.96,94.2,95.34,751800,EXPO
2021-04-19,94.97,95.85,91.15,95.85,1009600,EXPO
2021-04-26,91.19,96.5,90.0,95.45,785800,EXPO
2021-05-03,90.96,92.49,88.29,92.05,922800,EXPO
2021-05-10,89.77,90.77,85.69,90.77,800100,EXPO
2021-05-17,87.17,88.77,85.63,88.77,646600,EXPO
2021-05-24,86.37,87.72,85.5,87.38,1004200,EXPO
2021-05-31,83.77,87.08,82.18,86.92,1071000,EXPO
2021-06-07,84.6,84.83,83.0,83.94,649200,EXPO
2021-06-14,81.66,87.09,81.59,84.76,1569900,EXPO
2021-06-21,85.31,85.47,81.84,82.02,1130700,EXPO
2021-06-28,86.13,86.97,82.93,85.45,779400,EXPO
2021-07-05,85.69,86.38,83.04,86.38,601900,EXPO
2021-07-12,85.57,86.68,84.24,85.69,532600,EXPO
2021-07-19,90.27,90.4,84.05,84.62,1086900,EXPO
2021-07-26,101.61,101.9,89.95,90.55,885400,EXPO
2021-08-02,109.15,110.1,101.53,101.68,1250900,EXPO
2021-08-09,108.61,110.23,106.74,108.61,650100,EXPO
2021-08-16,109.68,110.08,105.88,108.53,807000,EXPO
2021-08-23,109.92,111.65,107.4,109.9,750600,EXPO
2021-08-30,110.96,112.61,109.35,110.06,697500,EXPO
2021-09-06,108.85,111.01,108.09,110.89,577100,EXPO
2021-09-13,109.38,111.64,107.44,109.62,1382800,EXPO
2021-09-20,113.63,114.19,107.34,107.79,618200,EXPO
2021-09-27,108.89,114.43,107.06,113.58,804700,EXPO
2021-10-04,108.87,111.34,106.42,108.73,873000,EXPO
