Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,127.84,131.43,127.74,129.51,33271200,NKE
2020-12-21,131.86,137.78,131.39,134.86,27660900,NKE
2020-12-28,131.74,133.22,130.72,132.74,13315900,NKE
2021-01-04,136.29,136.72,128.81,133.03,25621900,NKE
2021-01-11,131.04,136.98,130.26,135.96,21777300,NKE
2021-01-18,129.77,133.92,128.89,131.29,19353900,NKE
2021-01-25,124.4,129.61,121.31,129.43,32537600,NKE
2021-02-01,135.13,135.56,124.13,126.06,26863400,NKE
2021-02-08,132.35,135.85,131.21,135.17,21332000,NKE
2021-02-15,132.25,135.49,130.57,133.51,23283300,NKE
2021-02-22,125.51,132.66,122.53,131.81,38035400,NKE
2021-03-01,124.43,129.84,120.55,126.57,29037500,NKE
2021-03-08,131.06,132.69,123.52,124.7,25320100,NKE
2021-03-15,128.3,136.85,126.45,131.29,51340100,NKE
2021-03-22,124.1,131.23,117.05,128.43,49763800,NKE
2021-03-29,123.67,125.68,121.92,124.05,25780000,NKE
2021-04-05,126.39,128.99,124.2,124.2,31630200,NKE
2021-04-12,125.33,127.74,123.0,125.74,34907800,NKE
2021-04-19,121.48,125.39,117.29,125.32,39925100,NKE
2021-04-26,123.75,125.15,120.67,121.76,34502400,NKE
2021-05-03,128.59,130.04,121.75,124.45,33184400,NKE
2021-05-10,126.84,129.61,123.63,128.77,30232000,NKE
2021-05-17,123.79,128.28,123.13,127.21,25445700,NKE
2021-05-24,127.33,129.06,123.93,124.2,33016300,NKE
2021-05-31,125.05,129.08,123.68,128.89,21048500,NKE
2021-06-07,123.36,126.41,121.73,125.29,27126900,NKE
2021-06-14,120.06,123.47,118.45,123.14,37180100,NKE
2021-06-21,144.32,144.54,120.34,120.84,74604200,NKE
2021-06-28,149.36,149.57,141.66,143.92,49103200,NKE
2021-07-05,150.54,151.43,147.12,149.53,23163200,NKE
2021-07-12,149.46,152.15,149.26,151.13,28704100,NKE
2021-07-19,155.55,155.63,146.4,147.87,26468600,NKE
2021-07-26,156.62,156.96,152.01,154.94,21281400,NKE
2021-08-02,161.57,163.05,157.11,158.07,23809500,NKE
2021-08-09,160.53,162.65,157.81,161.29,18401500,NKE
2021-08-16,156.88,161.2,153.69,159.61,23995900,NKE
2021-08-23,156.69,159.79,155.46,158.44,17015400,NKE
2021-08-30,152.93,157.72,151.93,157.24,24675800,NKE
2021-09-06,153.21,155.61,149.61,153.31,24907400,NKE
2021-09-13,146.49,152.58,145.79,151.31,33996200,NKE
2021-09-20,140.1,150.12,138.61,143.98,58638700,NKE
2021-09-27,137.73,140.4,135.21,140.02,48212400,NKE
2021-10-04,142.8,143.91,136.51,137.73,40735300,NKE
2021-10-11,147.98,148.41,140.54,142.35,32972700,NKE
2021-10-18,153.11,154.17,146.05,147.33,27895200,NKE
2021-10-25,156.68,156.99,151.4,152.87,23255900,NKE
2021-11-01,166.25,167.74,155.36,157.15,27177800,NKE
2021-11-08,158.36,165.34,156.06,165.16,30950500,NKE
2021-11-15,163.78,165.96,157.83,158.93,22387700,NKE
2021-11-22,157.36,166.47,156.91,163.88,20597200,NKE
2021-11-29,159.44,162.37,156.1,159.05,32378000,NKE
2021-12-06,158.62,162.64,156.99,160.28,27112700,NKE
2021-12-13,151.39,158.93,150.63,158.38,32832300,NKE
2021-12-20,155.44,160.62,145.87,149.5,31963000,NKE
2021-12-27,156.38,159.61,155.26,156.23,15677600,NKE
2022-01-03,147.27,157.54,147.17,157.18,26008300,NKE
2022-01-10,139.03,144.11,137.78,141.22,35987000,NKE
2022-01-17,134.12,139.89,133.7,138.91,24674700,NKE
2022-01-24,136.9,139.77,130.94,132.11,37899800,NKE
2022-01-31,136.41,140.43,134.77,137.24,28672500,NKE
2022-02-07,131.52,138.43,130.94,136.33,26111000,NKE
2022-02-14,134.12,137.87,131.16,131.43,29858600,NKE
2022-02-21,130.23,132.89,122.84,132.84,31082800,NKE
2022-02-28,123.08,129.83,122.63,128.59,32552200,NKE
2022-03-07,115.32,123.22,113.6,123.19,42367300,NKE
2022-03-14,123.41,123.62,109.79,114.28,52612800,NKE
2022-03-21,125.73,130.71,120.95,121.99,54329300,NKE
2022-03-28,125.56,131.52,124.29,125.78,31639800,NKE
2022-04-04,120.51,127.15,118.8,125.12,28174000,NKE
2022-04-11,125.5,126.37,116.91,117.64,29442800,NKE
2022-04-18,121.37,130.84,121.04,124.13,31838100,NKE
2022-04-25,117.26,121.25,113.3,120.18,32917700,NKE
2022-05-02,107.66,118.68,104.06,117.01,40202700,NKE
2022-05-09,106.27,107.61,98.74,106.23,41508900,NKE
2022-05-16,101.56,110.12,98.81,106.24,35260800,NKE
2022-05-23,109.07,109.09,97.29,101.06,31881900,NKE
2022-05-30,113.74,116.21,107.63,110.49,30357300,NKE
2022-06-06,108.16,116.73,107.71,114.54,23888000,NKE
2022-06-13,101.19,108.15,99.66,104.06,33441800,NKE
2022-06-20,106.44,106.47,98.43,102.25,35457500,NKE
2022-06-27,95.38,107.52,93.83,105.81,71229500,NKE
2022-07-04,101.75,102.39,94.37,94.69,29954200,NKE
2022-07-11,98.7,100.95,95.74,100.49,31065300,NKE
2022-07-18,102.87,105.52,97.74,100.11,32024000,NKE
2022-07-25,108.34,108.61,98.58,103.33,35309500,NKE
2022-08-01,107.35,108.93,105.27,107.47,25618000,NKE
2022-08-08,109.42,110.06,102.58,107.47,30391000,NKE
2022-08-15,106.68,111.68,106.55,108.84,26295000,NKE
2022-08-22,102.08,107.21,102.03,104.66,27015900,NKE
2022-08-29,99.68,103.77,97.85,100.69,31501300,NKE
2022-09-05,104.91,105.59,98.02,99.68,27197000,NKE
2022-09-12,98.44,107.17,97.61,105.3,30280900,NKE
2022-09-19,91.72,101.51,90.14,98.03,40113500,NKE
2022-09-26,78.58,94.0,78.0,90.84,95350500,NKE
2022-10-03,82.4,87.58,77.73,78.59,65462300,NKE
2022-10-10,82.77,85.92,80.43,82.97,45814000,NKE
2022-10-17,83.67,87.84,81.88,84.64,42394900,NKE
2022-10-24,88.71,89.2,81.53,83.0,40775500,NKE
2022-10-31,90.56,92.87,83.88,87.92,39947300,NKE
2022-11-07,100.3,101.36,86.94,91.05,44621700,NKE
2022-11-14,99.67,103.34,97.3,99.46,31128300,NKE
2022-11-21,100.18,101.33,97.94,98.9,17387200,NKE
2022-11-28,106.08,106.56,98.94,99.5,45427700,NKE
2022-12-05,103.76,105.73,101.23,105.28,30928200,NKE
2022-12-12,100.47,110.43,99.69,104.41,44194100,NKE
2022-12-19,110.24,113.02,96.42,99.56,84296800,NKE
2022-12-26,110.96,112.13,109.02,110.45,21043000,NKE
2023-01-02,118.09,118.88,111.37,112.42,32802900,NKE
2023-01-09,122.19,122.55,117.94,118.54,35509900,NKE
2023-01-16,120.08,122.38,117.22,121.38,23947700,NKE
2023-01-23,120.94,122.32,114.22,120.34,28570300,NKE
2023-01-30,121.01,124.52,119.5,119.96,30714100,NKE
2023-02-06,115.91,119.58,114.31,119.03,26957600,NKE
2023-02-13,118.39,120.91,116.13,116.47,26107300,NKE
2023-02-20,111.94,117.59,111.28,116.91,18927200,NKE
2023-02-27,114.69,114.78,111.47,113.1,25089400,NKE
2023-03-06,111.73,116.01,110.93,115.2,26320200,NKE
2023-03-13,114.49,115.77,110.12,110.15,37215800,NKE
2023-03-20,114.8,119.89,113.48,115.06,54085300,NKE
2023-03-27,116.63,116.7,111.13,115.09,26907900,NKE
2023-04-03,114.33,117.88,112.08,116.5,19322000,NKE
2023-04-10,119.78,121.25,113.29,113.46,22911100,NKE
2023-04-17,119.38,121.05,117.56,119.86,18866000,NKE
2023-04-24,120.51,120.9,117.11,119.36,20850900,NKE
2023-05-01,120.39,122.38,116.8,120.7,23569200,NKE
2023-05-08,114.32,121.44,113.2,121.03,25524600,NKE
2023-05-15,109.14,114.11,107.56,113.95,39234800,NKE
2023-05-22,102.24,107.32,101.76,107.32,47644900,NKE
2023-05-29,102.5,103.55,97.86,103.09,54663800,NKE
2023-06-05,101.01,103.28,100.36,102.93,41387000,NKE
2023-06-12,108.38,109.5,99.8,101.42,58660300,NKE
2023-06-19,104.5,107.65,102.38,106.3,39312300,NKE
2023-06-26,105.31,109.03,104.64,104.64,52886800,NKE
2023-07-03,99.67,106.2,98.92,105.97,33526100,NKE
2023-07-10,103.0,104.13,99.47,99.69,32760400,NKE
2023-07-17,104.06,105.28,101.86,102.34,30516800,NKE
2023-07-24,103.64,105.48,102.47,105.35,32162200,NKE
2023-07-31,103.82,105.77,101.76,104.39,27891600,NKE
2023-08-07,103.13,106.82,102.43,104.83,27448600,NKE
