Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,13.23,13.4,13.03,13.38,796564000,NVDA
2020-12-21,12.96,13.33,12.9,13.04,764940000,NVDA
2020-12-28,13.02,13.18,12.73,13.03,800756000,NVDA
2021-01-04,13.24,13.61,12.55,13.07,2217832000,NVDA
2021-01-11,12.82,13.92,12.81,13.38,1580748000,NVDA
2021-01-18,13.67,13.96,12.81,12.98,1069360000,NVDA
2021-01-25,12.95,13.79,12.76,13.74,1286232000,NVDA
2021-02-01,13.55,13.89,12.87,13.02,1053544000,NVDA
2021-02-08,14.92,15.25,13.69,13.69,2033120000,NVDA
2021-02-15,14.88,15.33,14.53,15.02,1102308000,NVDA
2021-02-22,13.68,15.09,13.18,14.73,2491352000,NVDA
2021-03-01,12.43,13.89,11.65,13.84,2111076000,NVDA
2021-03-08,12.82,13.01,11.53,12.42,1993192000,NVDA
2021-03-15,12.81,13.48,12.58,12.83,1331084000,NVDA
2021-03-22,12.81,13.36,12.24,12.88,1424804000,NVDA
2021-03-29,13.78,13.84,12.67,12.79,1096776000,NVDA
2021-04-05,14.36,14.44,13.68,13.83,1138288000,NVDA
2021-04-12,15.87,16.17,14.1,14.25,2864724000,NVDA
2021-04-19,15.23,15.77,14.75,15.5,1460616000,NVDA
2021-04-26,14.97,15.63,14.96,15.15,946892000,NVDA
2021-05-03,14.78,15.21,13.98,15.09,1323968000,NVDA
2021-05-10,14.21,14.77,13.43,14.75,1401916000,NVDA
2021-05-17,14.95,15.18,13.51,14.12,1741820000,NVDA
2021-05-24,16.2,16.24,15.14,15.18,2586676000,NVDA
2021-05-31,17.54,17.62,15.86,16.23,2264100000,NVDA
2021-06-07,17.78,17.9,17.13,17.53,1985340000,NVDA
2021-06-14,18.6,19.33,17.55,17.87,2650044000,NVDA
2021-06-21,18.99,19.38,17.78,18.39,2184172000,NVDA
2021-06-28,20.44,20.46,19.28,19.32,2012536000,NVDA
2021-07-05,20.01,20.83,19.66,20.69,1665060000,NVDA
2021-07-12,18.12,20.49,18.03,20.19,2231580000,NVDA
2021-07-19,19.51,19.84,17.83,17.88,2074262000,NVDA
2021-07-26,19.46,19.81,18.7,19.27,1029275000,NVDA
2021-08-02,20.32,20.69,19.18,19.66,1140496000,NVDA
2021-08-09,20.14,20.46,19.39,20.4,846321000,NVDA
2021-08-16,20.77,20.82,18.72,20.09,2143670000,NVDA
2021-08-23,22.59,22.67,20.9,20.92,1763469000,NVDA
2021-08-30,22.79,22.99,22.07,22.78,1192563000,NVDA
2021-09-06,22.43,22.85,21.93,22.79,897773000,NVDA
2021-09-13,21.85,22.92,21.79,22.64,1114329000,NVDA
2021-09-20,22.04,22.49,20.62,21.1,1289064000,NVDA
2021-09-27,20.7,21.75,20.16,21.67,1268665000,NVDA
2021-10-04,20.79,21.28,19.51,20.46,1330296000,NVDA
2021-10-11,21.82,21.89,20.47,20.53,976757000,NVDA
2021-10-18,22.68,23.08,21.6,21.7,934217000,NVDA
2021-10-25,25.51,25.66,22.72,22.93,1488830000,NVDA
2021-11-01,29.69,31.34,25.18,25.6,2804653000,NVDA
2021-11-08,30.33,32.24,28.72,30.09,2531279000,NVDA
2021-11-15,32.92,33.02,28.74,30.49,2393479000,NVDA
2021-11-22,31.44,34.58,30.82,33.45,2004729000,NVDA
2021-11-29,30.63,33.34,30.07,32.3,2578613000,NVDA
2021-12-06,30.14,32.39,27.98,29.82,2704874000,NVDA
2021-12-13,27.75,31.1,27.2,30.19,3384800000,NVDA
