Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,311.9,315.8,307.86,310.47,13634000,UNH
2020-12-21,314.12,314.91,303.62,306.08,8671100,UNH
2020-12-28,323.24,323.8,316.21,316.35,8418900,UNH
2021-01-04,334.95,338.73,308.88,323.94,20240200,UNH
2021-01-11,323.81,335.78,318.68,334.24,13739000,UNH
2021-01-18,320.35,332.65,318.76,328.33,12733000,UNH
2021-01-25,307.47,324.0,303.26,319.98,16413800,UNH
2021-02-01,299.11,317.67,298.16,308.81,21411100,UNH
2021-02-08,302.55,310.3,296.53,301.42,18515300,UNH
2021-02-15,299.18,304.03,297.02,301.74,11656300,UNH
2021-02-22,306.22,311.46,295.28,296.34,17484600,UNH
2021-03-01,319.94,321.03,306.63,308.19,19362200,UNH
2021-03-08,328.16,332.98,318.55,319.85,15319000,UNH
2021-03-15,338.17,342.68,325.19,330.16,19765200,UNH
2021-03-22,348.25,348.79,333.11,337.63,15994400,UNH
2021-03-29,339.54,351.97,338.33,348.14,12140600,UNH
2021-04-05,348.08,348.37,333.51,341.9,12476800,UNH
2021-04-12,361.69,364.38,345.98,346.4,17535900,UNH
2021-04-19,370.29,371.85,359.34,360.75,13768600,UNH
2021-04-26,368.89,372.0,362.88,369.83,9611900,UNH
2021-05-03,386.33,387.6,370.5,370.93,13483000,UNH
2021-05-10,379.07,394.04,374.0,387.83,13111800,UNH
2021-05-17,380.76,387.24,373.94,378.62,13463000,UNH
2021-05-24,381.03,384.31,378.23,381.45,10482800,UNH
2021-05-31,375.22,382.71,372.63,382.71,9704600,UNH
2021-06-07,368.05,376.67,365.18,376.44,15458700,UNH
2021-06-14,360.17,372.92,358.21,367.51,17904900,UNH
2021-06-21,375.96,380.63,361.35,361.49,30984000,UNH
2021-06-28,380.05,380.52,368.39,375.96,13188200,UNH
2021-07-05,382.6,383.66,376.08,379.41,8996900,UNH
2021-07-12,389.65,392.28,378.04,381.59,15462100,UNH
2021-07-19,387.79,389.49,377.68,387.37,11695300,UNH
2021-07-26,382.71,387.76,377.67,386.99,10771300,UNH
2021-08-02,385.4,393.33,378.69,383.96,11841000,UNH
2021-08-09,380.34,386.43,375.35,385.24,7971900,UNH
2021-08-16,398.94,400.47,378.17,380.5,13278900,UNH
2021-08-23,388.78,399.73,386.33,399.73,8941200,UNH
2021-08-30,392.58,394.01,381.8,388.78,12309900,UNH
2021-09-06,374.99,392.59,373.76,390.21,11907100,UNH
2021-09-13,391.45,394.46,378.67,380.1,15925500,UNH
2021-09-20,379.26,390.64,377.27,388.43,13443400,UNH
2021-09-27,365.61,383.98,356.94,379.96,14706800,UNH
2021-10-04,380.55,381.16,358.46,364.86,13979300,UNH
2021-10-11,398.82,403.87,370.9,380.12,16952500,UNH
2021-10-18,418.46,418.58,394.46,398.75,11814900,UNH
2021-10-25,429.0,429.86,415.93,419.25,14348200,UNH
2021-11-01,424.66,433.93,416.49,430.26,12663600,UNH
2021-11-08,427.62,434.15,423.26,425.63,12612200,UNH
2021-11-15,409.93,427.03,409.46,426.7,14124800,UNH
2021-11-22,409.85,420.16,406.2,412.56,10185100,UNH
2021-11-29,418.61,424.76,409.2,413.25,23617600,UNH
2021-12-06,447.0,447.23,422.03,422.62,16604700,UNH
2021-12-13,455.31,464.51,443.06,445.87,19719400,UNH
2021-12-20,463.03,465.62,444.22,450.52,9075600,UNH
2021-12-27,469.35,475.98,464.21,466.11,7424000,UNH
2022-01-03,428.65,470.85,425.8,467.35,22912200,UNH
2022-01-10,438.08,445.43,424.76,426.22,19337600,UNH
2022-01-17,431.05,444.44,428.42,434.79,15471500,UNH
2022-01-24,435.63,438.07,418.06,428.16,19518000,UNH
2022-01-31,451.62,467.52,432.53,434.63,17113200,UNH
2022-02-07,446.91,468.22,445.33,453.24,14409900,UNH
2022-02-14,437.26,450.27,436.34,444.08,13597700,UNH
2022-02-21,444.68,444.71,416.63,433.54,13117500,UNH
2022-02-28,466.09,467.03,435.2,435.43,17821300,UNH
2022-03-07,451.34,467.35,440.73,467.35,16538100,UNH
2022-03-14,474.47,478.74,454.93,459.73,16667000,UNH
2022-03-21,480.95,484.23,469.98,473.43,13463700,UNH
2022-03-28,480.53,489.25,474.92,482.16,15486400,UNH
2022-04-04,511.82,514.64,472.98,480.18,16735400,UNH
2022-04-11,501.37,518.69,495.56,509.61,14373000,UNH
2022-04-18,488.36,514.07,487.65,504.26,13274200,UNH
2022-04-25,476.75,493.37,475.26,487.86,14735300,UNH
