Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,156.44,157.31,153.48,155.22,6494100,ZTS
2020-12-21,153.66,155.82,151.34,153.68,4255000,ZTS
2020-12-28,158.23,158.4,153.26,154.35,5012400,ZTS
2021-01-04,160.72,162.41,153.66,158.7,8490900,ZTS
2021-01-11,154.46,163.0,152.61,160.52,9754700,ZTS
2021-01-18,156.15,158.47,154.16,155.23,6601500,ZTS
2021-01-25,147.7,156.26,145.83,155.66,9497900,ZTS
2021-02-01,152.52,153.45,147.7,149.57,8460500,ZTS
2021-02-08,159.63,160.63,151.77,153.59,9272800,ZTS
2021-02-15,153.21,162.85,152.64,160.85,9918700,ZTS
2021-02-22,148.65,154.93,148.37,152.25,11836500,ZTS
2021-03-01,139.49,153.16,135.4,149.48,16748200,ZTS
2021-03-08,146.09,147.03,138.86,141.72,10727800,ZTS
2021-03-15,146.62,153.57,145.32,146.28,12524400,ZTS
2021-03-22,149.52,150.57,145.29,146.54,8840400,ZTS
2021-03-29,151.19,152.36,148.91,149.15,6293300,ZTS
2021-04-05,153.06,154.12,148.81,151.83,9938300,ZTS
2021-04-12,160.51,161.12,151.79,153.27,10884500,ZTS
2021-04-19,163.3,164.03,159.52,160.39,7559500,ZTS
2021-04-26,165.93,167.67,162.07,163.87,7535400,ZTS
2021-05-03,164.51,169.0,158.44,167.53,10358500,ZTS
2021-05-10,165.22,166.13,160.59,164.94,7231400,ZTS
2021-05-17,168.8,170.42,160.92,165.18,9243900,ZTS
2021-05-24,169.43,171.38,167.19,169.78,10601400,ZTS
2021-05-31,168.01,170.2,164.83,170.08,5025700,ZTS
2021-06-07,174.72,175.35,166.02,168.21,7163900,ZTS
2021-06-14,177.78,179.27,173.75,174.6,11866400,ZTS
2021-06-21,179.55,179.68,176.12,177.94,8357900,ZTS
2021-06-28,184.79,185.12,177.96,179.65,7207800,ZTS
2021-07-05,189.39,190.26,183.75,183.75,8525600,ZTS
2021-07-12,191.49,193.75,189.37,189.79,10687100,ZTS
2021-07-19,195.23,195.57,187.53,190.32,8282400,ZTS
2021-07-26,194.63,197.48,192.2,194.54,7644300,ZTS
2021-08-02,193.84,198.76,187.82,195.38,9752800,ZTS
2021-08-09,193.46,194.88,189.12,194.31,5564500,ZTS
2021-08-16,198.8,199.97,193.02,193.58,5530200,ZTS
2021-08-23,195.7,200.25,194.9,199.44,4653900,ZTS
2021-08-30,201.34,201.73,194.99,195.7,5299100,ZTS
2021-09-06,198.76,201.64,197.28,201.14,4070800,ZTS
2021-09-13,190.58,200.67,190.0,200.24,10357400,ZTS
2021-09-20,196.58,197.78,187.99,188.84,7121000,ZTS
2021-09-27,188.38,195.89,183.71,195.89,9232800,ZTS
2021-10-04,190.0,193.42,183.33,187.41,8176100,ZTS
2021-10-11,194.17,194.72,187.97,189.69,6074200,ZTS
2021-10-18,200.21,200.75,192.76,193.94,4518600,ZTS
2021-10-25,207.59,208.28,198.85,200.49,7270400,ZTS
2021-11-01,208.35,210.04,200.7,207.47,9985400,ZTS
2021-11-08,208.46,212.27,207.05,209.68,6493300,ZTS
2021-11-15,217.67,219.5,207.31,208.75,6964200,ZTS
2021-11-22,210.84,220.04,210.05,217.93,4908600,ZTS
2021-11-29,214.69,217.59,210.77,212.88,10447700,ZTS
2021-12-06,222.5,222.94,212.44,214.27,6246100,ZTS
2021-12-13,225.25,227.26,217.68,222.59,9346200,ZTS
2021-12-20,233.13,234.94,221.25,224.94,4941100,ZTS
2021-12-27,234.59,239.63,233.68,234.94,4683800,ZTS
2022-01-03,202.93,233.83,202.63,232.92,17496000,ZTS
2022-01-10,198.21,207.94,195.54,200.07,11527900,ZTS
2022-01-17,192.58,198.27,192.32,193.99,10070600,ZTS
2022-01-24,188.05,192.71,178.82,190.7,18869300,ZTS
2022-01-31,192.13,195.86,188.72,188.72,10883300,ZTS
2022-02-07,191.48,197.69,190.04,192.49,14734900,ZTS
2022-02-14,184.22,193.97,183.35,190.6,14911600,ZTS
2022-02-21,187.48,188.5,176.22,183.95,9063700,ZTS
2022-02-28,189.53,189.96,184.2,185.39,7764600,ZTS
2022-03-07,178.41,187.99,174.43,187.98,10454600,ZTS
2022-03-14,188.63,189.84,177.06,179.5,10183800,ZTS
2022-03-21,182.4,190.05,181.16,187.96,12189900,ZTS
2022-03-28,184.01,187.66,179.77,183.17,12474900,ZTS
2022-04-04,192.66,193.84,179.59,184.04,12743300,ZTS
2022-04-11,180.34,192.46,179.14,191.58,7335900,ZTS
2022-04-18,175.19,183.71,174.84,179.62,9753900,ZTS
2022-04-25,170.97,175.76,170.19,174.28,10758100,ZTS
2022-05-02,163.21,174.04,161.58,170.14,15607000,ZTS
2022-05-09,159.47,162.43,152.66,161.08,13827600,ZTS
2022-05-16,156.8,162.57,151.12,158.8,12367700,ZTS
2022-05-23,166.0,166.03,155.6,157.91,8973800,ZTS
2022-05-30,163.02,166.69,159.8,164.63,8609800,ZTS
2022-06-06,155.77,168.4,155.7,164.45,7132100,ZTS
2022-06-13,153.2,155.82,148.71,152.12,12108800,ZTS
2022-06-20,168.42,168.49,154.48,154.59,9008500,ZTS
2022-06-27,168.03,169.0,163.81,167.68,8481300,ZTS
2022-07-04,171.67,173.62,163.54,166.17,6355400,ZTS
2022-07-11,168.35,172.86,159.87,171.55,8903000,ZTS
2022-07-18,171.86,174.74,165.21,168.64,8720400,ZTS
2022-07-25,176.4,177.62,168.1,172.01,7029200,ZTS
2022-08-01,168.73,175.99,164.9,174.9,7998000,ZTS
2022-08-08,169.75,170.58,163.59,168.72,6576300,ZTS
2022-08-15,163.81,170.24,163.47,169.27,7342600,ZTS
2022-08-22,154.5,162.82,154.28,162.27,6690300,ZTS
2022-08-29,151.69,156.27,149.51,152.98,8673600,ZTS
2022-09-05,158.78,159.07,149.29,152.45,8691200,ZTS
2022-09-12,152.0,161.58,150.08,158.81,10519800,ZTS
2022-09-19,145.0,151.98,142.88,150.74,8725500,ZTS
2022-09-26,143.3,148.81,142.79,144.71,9720400,ZTS
2022-10-03,142.41,150.39,142.0,144.25,7863400,ZTS
2022-10-10,140.5,145.79,137.09,143.11,8730200,ZTS
2022-10-17,142.25,149.19,137.33,142.17,11628500,ZTS
2022-10-24,148.12,149.7,143.32,143.7,9543700,ZTS
2022-10-31,129.17,149.69,119.97,146.99,19203500,ZTS
2022-11-07,143.85,144.55,128.69,129.94,18190500,ZTS
2022-11-14,141.03,146.95,138.21,144.29,12994700,ZTS
2022-11-21,145.35,146.42,139.28,140.73,5962800,ZTS
2022-11-28,152.44,152.92,141.8,144.73,11908400,ZTS
2022-12-05,148.54,151.72,144.48,150.71,12038700,ZTS
