Date,Close,High,Low,Open,Volume,Symbol
2013-01-28,28.04,28.7,27.55,28.48,66789100,ZTS
2013-02-04,29.88,30.27,27.8,28.11,21234800,ZTS
2013-02-11,30.72,30.82,29.63,29.89,12764100,ZTS
2013-02-18,29.47,30.8,28.81,30.76,7246600,ZTS
2013-02-25,31.28,31.37,28.92,29.55,8536600,ZTS
2013-03-04,30.82,31.55,30.34,31.46,5941900,ZTS
2013-03-11,30.23,32.02,29.91,30.71,10085100,ZTS
2013-03-18,29.95,30.74,29.23,29.61,6930000,ZTS
2013-03-25,30.2,30.29,28.93,30.27,12052800,ZTS
2013-04-01,28.9,30.37,27.64,30.22,9498100,ZTS
2013-04-08,30.04,30.52,28.72,28.89,7489200,ZTS
2013-04-15,29.57,30.17,28.76,29.9,9210400,ZTS
2013-04-22,29.51,29.8,27.5,29.75,10745500,ZTS
2013-04-29,30.03,31.41,29.09,29.79,8189700,ZTS
2013-05-06,30.06,30.5,29.25,30.21,3749800,ZTS
2013-05-13,30.71,30.71,29.5,29.95,4115100,ZTS
2013-05-20,30.31,30.8,28.76,30.71,43354200,ZTS
2013-05-27,28.99,31.06,28.81,30.62,18502500,ZTS
2013-06-03,28.54,29.89,28.27,29.0,19486100,ZTS
2013-06-10,27.9,29.09,27.73,28.84,35522900,ZTS
2013-06-17,27.72,28.77,27.22,28.45,123187900,ZTS
2013-06-24,27.98,28.9,26.63,27.31,114206500,ZTS
2013-07-01,27.33,28.14,26.25,28.1,52507500,ZTS
2013-07-08,28.4,28.49,27.38,27.59,40802400,ZTS
2013-07-15,27.4,28.67,27.29,28.37,25048800,ZTS
2013-07-22,27.57,27.71,26.87,27.5,24762200,ZTS
2013-07-29,28.03,28.05,26.69,27.42,27421800,ZTS
2013-08-05,28.06,29.51,27.66,27.66,35620600,ZTS
2013-08-12,27.24,28.14,27.01,27.85,22265800,ZTS
2013-08-19,27.42,27.61,26.85,27.16,15378500,ZTS
2013-08-26,26.47,27.38,26.16,27.38,26236700,ZTS
2013-09-02,27.79,28.1,26.5,26.75,16173300,ZTS
2013-09-09,28.19,28.89,27.56,27.82,20084700,ZTS
2013-09-16,29.23,29.87,28.5,28.54,31099700,ZTS
2013-09-23,28.28,29.23,28.17,29.23,13380100,ZTS
2013-09-30,29.1,29.56,28.08,28.24,17541100,ZTS
2013-10-07,29.42,29.75,28.22,28.78,22515000,ZTS
2013-10-14,30.16,30.23,28.93,29.08,15351200,ZTS
2013-10-21,29.48,30.27,29.29,30.11,12412400,ZTS
2013-10-28,28.91,29.61,28.49,29.53,21079200,ZTS
2013-11-04,28.74,29.28,28.07,28.97,27072500,ZTS
2013-11-11,28.94,29.28,28.46,28.84,17009400,ZTS
2013-11-18,28.53,29.08,28.38,28.97,16148600,ZTS
2013-11-25,28.34,29.04,28.26,28.58,11960000,ZTS
2013-12-02,28.69,28.85,28.1,28.48,22538100,ZTS
2013-12-09,28.73,29.06,27.98,28.71,17342000,ZTS
2013-12-16,29.46,29.74,28.48,28.81,16078000,ZTS
2013-12-23,29.72,29.82,29.18,29.67,5671200,ZTS
2013-12-30,29.16,29.88,29.13,29.79,9175000,ZTS
2014-01-06,29.6,29.78,28.67,29.38,14370500,ZTS
2014-01-13,28.87,29.49,28.78,29.47,13756500,ZTS
2014-01-20,28.62,29.19,28.44,29.09,19160200,ZTS
2014-01-27,27.62,28.77,27.36,28.68,24292000,ZTS
2014-02-03,27.99,28.08,27.31,27.72,21442600,ZTS
2014-02-10,27.25,28.75,26.23,28.07,63333800,ZTS
2014-02-17,27.0,27.89,26.93,27.27,20192700,ZTS
2014-02-24,28.29,28.29,26.94,27.15,20130300,ZTS
2014-03-03,27.88,28.54,27.78,28.16,21474700,ZTS
2014-03-10,26.83,27.94,26.5,27.92,19020400,ZTS
2014-03-17,26.68,27.75,26.62,26.88,28323900,ZTS
2014-03-24,26.45,26.91,26.36,26.74,21112700,ZTS
2014-03-31,26.74,27.36,26.13,26.51,22548300,ZTS
2014-04-07,25.9,26.74,25.79,26.67,21007700,ZTS
2014-04-14,26.08,26.24,25.66,25.97,13437300,ZTS
2014-04-21,27.5,27.62,26.01,26.17,25864400,ZTS
2014-04-28,28.01,28.11,27.39,27.9,16601300,ZTS
2014-05-05,27.92,28.69,27.02,27.81,23795100,ZTS
2014-05-12,27.97,28.21,27.71,27.95,12320000,ZTS
2014-05-19,27.91,28.0,27.64,27.97,17239900,ZTS
2014-05-26,28.06,28.27,27.82,28.1,13874200,ZTS
2014-06-02,29.01,29.07,28.02,28.15,15543100,ZTS
2014-06-09,29.36,29.74,28.93,29.05,17632900,ZTS
2014-06-16,29.67,30.21,29.24,29.32,20986300,ZTS
2014-06-23,29.6,29.92,29.32,29.74,10712600,ZTS
2014-06-30,30.08,30.09,29.36,29.66,7331700,ZTS
2014-07-07,29.59,30.06,29.27,30.05,8700400,ZTS
2014-07-14,29.88,30.03,29.31,29.76,11579600,ZTS
2014-07-21,30.0,30.37,29.8,29.81,10770000,ZTS
2014-07-28,29.93,30.39,29.79,29.95,14806600,ZTS
2014-08-04,29.54,30.48,28.95,29.91,19712300,ZTS
2014-08-11,30.8,30.8,29.57,29.67,15255100,ZTS
2014-08-18,31.89,31.97,30.8,30.85,13444800,ZTS
2014-08-25,32.46,32.5,31.89,32.06,13071200,ZTS
2014-09-01,33.01,33.57,32.35,32.46,9860600,ZTS
2014-09-08,33.14,33.29,32.87,32.98,10722300,ZTS
2014-09-15,34.08,34.18,33.1,33.21,15384600,ZTS
2014-09-22,33.55,34.17,32.84,34.09,18273800,ZTS
2014-09-29,34.51,34.56,33.13,33.25,20615500,ZTS
2014-10-06,33.6,34.78,33.55,34.64,22402000,ZTS
2014-10-13,32.4,33.59,31.29,33.59,24530700,ZTS
2014-10-20,33.51,33.53,32.35,32.4,13924900,ZTS
2014-10-27,34.04,34.73,33.26,33.53,11042100,ZTS
2014-11-03,36.85,36.92,33.91,33.97,36950000,ZTS
2014-11-10,39.59,40.5,36.64,36.99,58014300,ZTS
2014-11-17,40.26,41.25,39.2,40.26,39032700,ZTS
2014-11-24,41.24,41.38,40.23,40.47,11232000,ZTS
2014-12-01,40.37,41.52,40.23,41.49,15265500,ZTS
2014-12-08,38.34,40.83,38.31,40.57,24790300,ZTS
2014-12-15,39.93,40.14,37.47,38.78,30357400,ZTS
2014-12-22,40.57,40.65,39.25,39.99,7344900,ZTS
2014-12-29,39.75,40.6,39.47,40.4,8173900,ZTS
2015-01-05,40.61,41.18,38.82,39.7,15691500,ZTS
2015-01-12,40.59,40.7,38.81,40.7,13799100,ZTS
2015-01-19,40.49,41.14,39.67,40.57,11263100,ZTS
2015-01-26,39.29,40.74,39.14,40.5,15433500,ZTS
2015-02-02,40.15,40.68,38.96,39.57,21029300,ZTS
2015-02-09,41.8,43.59,39.23,40.0,29052300,ZTS
2015-02-16,41.93,42.69,41.48,41.89,13974500,ZTS
2015-02-23,42.38,43.11,41.57,42.03,17951600,ZTS
2015-03-02,42.1,43.78,42.0,42.38,16625000,ZTS
2015-03-09,42.71,43.18,41.82,42.18,13955900,ZTS
2015-03-16,43.53,44.06,42.68,42.95,15026100,ZTS
2015-03-23,42.5,43.86,42.01,43.72,17259100,ZTS
2015-03-30,42.76,43.18,42.26,42.73,12810600,ZTS
2015-04-06,43.37,43.49,42.31,42.44,12316900,ZTS
2015-04-13,43.08,43.7,42.39,43.53,10730900,ZTS
2015-04-20,44.13,44.21,42.9,43.19,13667700,ZTS
2015-04-27,41.09,44.21,40.82,44.2,21339400,ZTS
2015-05-04,42.28,43.7,41.19,41.22,21880700,ZTS
2015-05-11,42.83,43.21,41.77,42.29,12586400,ZTS
2015-05-18,43.88,44.12,42.67,42.79,14374500,ZTS
2015-05-25,45.85,46.02,43.77,43.78,19998400,ZTS
2015-06-01,45.15,46.4,44.59,45.99,13645300,ZTS
2015-06-08,45.21,46.1,44.7,44.91,10683000,ZTS
2015-06-15,46.28,46.63,44.87,44.99,14240200,ZTS
2015-06-22,44.79,51.02,44.46,46.61,30757800,ZTS
