Date,Close,High,Low,Open,Volume,Symbol
1986-08-13,0.2,0.21,0.2,0.2,18899200,ADBE
1986-08-14,0.21,0.22,0.21,0.21,4160000,ADBE
1986-08-15,0.21,0.21,0.21,0.21,4332800,ADBE
1986-08-18,0.2,0.21,0.2,0.21,2828800,ADBE
1986-08-19,0.2,0.21,0.2,0.2,2060800,ADBE
1986-08-20,0.2,0.21,0.2,0.2,684800,ADBE
1986-08-21,0.21,0.22,0.21,0.21,883200,ADBE
1986-08-22,0.21,0.22,0.21,0.21,1734400,ADBE
1986-08-25,0.2,0.21,0.2,0.21,627200,ADBE
1986-08-26,0.2,0.21,0.2,0.2,793600,ADBE
1986-08-27,0.2,0.21,0.2,0.2,2540800,ADBE
1986-08-28,0.19,0.21,0.19,0.2,1555200,ADBE
1986-08-29,0.19,0.21,0.19,0.19,1548800,ADBE
1986-09-02,0.21,0.22,0.21,0.21,1068800,ADBE
1986-09-03,0.21,0.22,0.21,0.21,403200,ADBE
1986-09-04,0.23,0.24,0.23,0.23,1804800,ADBE
1986-09-05,0.23,0.24,0.23,0.23,2137600,ADBE
1986-09-08,0.23,0.24,0.23,0.23,492800,ADBE
1986-09-09,0.23,0.25,0.23,0.23,499200,ADBE
1986-09-10,0.25,0.26,0.25,0.25,934400,ADBE
1986-09-11,0.22,0.23,0.22,0.23,1798400,ADBE
1986-09-12,0.22,0.23,0.22,0.22,1286400,ADBE
1986-09-15,0.24,0.25,0.24,0.24,998400,ADBE
1986-09-16,0.25,0.26,0.25,0.25,1254400,ADBE
1986-09-17,0.27,0.28,0.27,0.27,1356800,ADBE
1986-09-18,0.27,0.28,0.27,0.27,352000,ADBE
1986-09-19,0.27,0.28,0.27,0.27,1024000,ADBE
1986-09-22,0.26,0.27,0.26,0.27,780800,ADBE
1986-09-23,0.25,0.26,0.25,0.26,1798400,ADBE
1986-09-24,0.26,0.27,0.26,0.26,1312000,ADBE
1986-09-25,0.25,0.26,0.25,0.26,1657600,ADBE
1986-09-26,0.25,0.26,0.25,0.25,768000,ADBE
1986-09-29,0.25,0.26,0.25,0.25,473600,ADBE
1986-09-30,0.25,0.27,0.25,0.25,192000,ADBE
1986-10-01,0.25,0.27,0.25,0.25,371200,ADBE
1986-10-02,0.25,0.27,0.25,0.25,224000,ADBE
1986-10-03,0.25,0.26,0.25,0.25,44800,ADBE
1986-10-06,0.26,0.27,0.26,0.26,128000,ADBE
1986-10-07,0.26,0.27,0.26,0.26,198400,ADBE
1986-10-08,0.26,0.27,0.26,0.26,204800,ADBE
1986-10-09,0.26,0.27,0.26,0.26,793600,ADBE
1986-10-10,0.26,0.27,0.26,0.26,224000,ADBE
1986-10-13,0.26,0.27,0.26,0.26,454400,ADBE
1986-10-14,0.26,0.27,0.26,0.26,480000,ADBE
1986-10-15,0.26,0.27,0.26,0.26,352000,ADBE
1986-10-16,0.26,0.27,0.26,0.26,352000,ADBE
1986-10-17,0.26,0.27,0.26,0.26,83200,ADBE
1986-10-20,0.26,0.27,0.26,0.26,44800,ADBE
1986-10-21,0.27,0.28,0.27,0.27,326400,ADBE
1986-10-22,0.27,0.28,0.27,0.27,1100800,ADBE
1986-10-23,0.28,0.28,0.28,0.28,742400,ADBE
1986-10-24,0.3,0.3,0.3,0.3,1651200,ADBE
1986-10-27,0.3,0.31,0.3,0.3,729600,ADBE
1986-10-28,0.3,0.31,0.3,0.3,1804800,ADBE
1986-10-29,0.33,0.34,0.33,0.33,11667200,ADBE
1986-10-30,0.35,0.35,0.35,0.35,2150400,ADBE
1986-10-31,0.34,0.35,0.34,0.35,1990400,ADBE
1986-11-03,0.33,0.34,0.33,0.34,1388800,ADBE
1986-11-04,0.32,0.33,0.32,0.33,2003200,ADBE
1986-11-05,0.32,0.33,0.32,0.32,1094400,ADBE
1986-11-06,0.33,0.33,0.33,0.33,2329600,ADBE
1986-11-07,0.33,0.34,0.33,0.33,1094400,ADBE
1986-11-10,0.34,0.34,0.34,0.34,2528000,ADBE
1986-11-11,0.34,0.34,0.34,0.34,876800,ADBE
1986-11-12,0.34,0.34,0.34,0.34,441600,ADBE
1986-11-13,0.33,0.34,0.33,0.34,550400,ADBE
1986-11-14,0.34,0.34,0.34,0.34,448000,ADBE
1986-11-17,0.33,0.34,0.33,0.34,684800,ADBE
1986-11-18,0.33,0.34,0.33,0.33,1062400,ADBE
1986-11-19,0.33,0.33,0.33,0.33,364800,ADBE
