Date,Close,High,Low,Open,Volume,Symbol
1986-08-11,0.21,0.22,0.2,0.2,27392000,ADBE
1986-08-18,0.21,0.22,0.2,0.21,8192000,ADBE
1986-08-25,0.19,0.21,0.19,0.21,7065600,ADBE
1986-09-01,0.23,0.24,0.21,0.21,5414400,ADBE
1986-09-08,0.22,0.26,0.22,0.23,5011200,ADBE
1986-09-15,0.27,0.28,0.24,0.24,4985600,ADBE
1986-09-22,0.25,0.27,0.25,0.27,6316800,ADBE
1986-09-29,0.25,0.27,0.25,0.25,1305600,ADBE
1986-10-06,0.26,0.27,0.26,0.26,1548800,ADBE
1986-10-13,0.26,0.27,0.26,0.26,1721600,ADBE
1986-10-20,0.3,0.3,0.26,0.26,3865600,ADBE
1986-10-27,0.34,0.35,0.3,0.3,18342400,ADBE
1986-11-03,0.33,0.34,0.32,0.34,7910400,ADBE
1986-11-10,0.34,0.34,0.33,0.34,4844800,ADBE
1986-11-17,0.33,0.34,0.33,0.34,2656000,ADBE
1986-11-24,0.36,0.37,0.33,0.33,2956800,ADBE
1986-12-01,0.37,0.38,0.36,0.36,5132800,ADBE
1986-12-08,0.35,0.4,0.35,0.39,18304000,ADBE
1986-12-15,0.34,0.36,0.34,0.35,9190400,ADBE
1986-12-22,0.37,0.38,0.34,0.34,7116800,ADBE
1986-12-29,0.38,0.39,0.36,0.37,7078400,ADBE
1987-01-05,0.41,0.43,0.39,0.39,10163200,ADBE
1987-01-12,0.46,0.47,0.43,0.43,17734400,ADBE
1987-01-19,0.54,0.54,0.48,0.48,25056000,ADBE
1987-01-26,0.5,0.54,0.5,0.53,8486400,ADBE
1987-02-02,0.54,0.54,0.51,0.51,20550400,ADBE
1987-02-09,0.66,0.66,0.54,0.54,15859200,ADBE
1987-02-16,0.59,0.69,0.58,0.66,17222400,ADBE
1987-02-23,0.67,0.67,0.59,0.59,17939200,ADBE
1987-03-02,0.81,0.85,0.66,0.67,42982400,ADBE
1987-03-09,0.98,0.98,0.81,0.81,48707200,ADBE
1987-03-16,0.92,1.04,0.91,0.98,51488000,ADBE
1987-03-23,0.97,0.98,0.83,0.92,22550400,ADBE
1987-03-30,1.16,1.21,0.89,0.97,44428800,ADBE
1987-04-06,1.16,1.28,1.15,1.17,26272000,ADBE
1987-04-13,1.19,1.26,1.02,1.16,18118400,ADBE
1987-04-20,1.22,1.23,1.13,1.19,7408000,ADBE
1987-04-27,1.43,1.47,1.19,1.22,34550400,ADBE
1987-05-04,1.58,1.64,1.41,1.43,13712000,ADBE
1987-05-11,1.5,1.61,1.5,1.58,10985600,ADBE
1987-05-18,1.42,1.51,1.34,1.5,18550400,ADBE
1987-05-25,1.41,1.44,1.38,1.42,9635200,ADBE
1987-06-01,1.17,1.45,1.14,1.41,22547200,ADBE
