Date,Close,High,Low,Open,Volume,Symbol
1995-03-15,1.77,1.8,1.53,1.57,71337728,ASML
1995-03-16,1.95,2.0,1.87,1.95,17607744,ASML
1995-03-17,1.88,1.95,1.87,1.95,13216075,ASML
1995-03-20,1.87,1.88,1.83,1.87,5498827,ASML
1995-03-21,1.95,1.97,1.85,1.87,6312768,ASML
1995-03-22,2.19,2.34,1.96,1.96,14026731,ASML
1995-03-23,2.14,2.23,2.13,2.17,6550955,ASML
1995-03-24,2.15,2.17,2.11,2.16,1577781,ASML
1995-03-27,2.18,2.18,2.11,2.14,1945739,ASML
1995-03-28,2.25,2.34,2.18,2.19,10769323,ASML
1995-03-29,2.26,2.33,2.22,2.28,3939936,ASML
1995-03-30,2.13,2.24,2.07,2.24,2329301,ASML
1995-03-31,2.21,2.21,2.07,2.1,3544875,ASML
1995-04-03,2.16,2.2,2.13,2.2,2472213,ASML
1995-04-04,2.03,2.16,2.01,2.15,2035264,ASML
1995-04-05,1.98,2.03,1.96,2.03,3745280,ASML
1995-04-06,1.98,2.03,1.98,2.0,2031979,ASML
1995-04-07,1.98,2.01,1.95,1.98,1200789,ASML
1995-04-10,2.08,2.12,1.95,1.98,2306304,ASML
1995-04-11,2.08,2.11,2.06,2.08,1878389,ASML
1995-04-12,2.12,2.14,2.09,2.09,3177739,ASML
1995-04-13,2.08,2.14,2.06,2.14,602037,ASML
1995-04-17,2.01,2.1,2.01,2.06,770411,ASML
1995-04-18,1.97,2.04,1.95,2.01,1040629,ASML
1995-04-19,1.95,1.99,1.95,1.97,1360128,ASML
1995-04-20,1.95,1.99,1.95,1.96,1312491,ASML
1995-04-21,1.99,1.99,1.98,1.98,502656,ASML
1995-04-24,2.24,2.26,1.99,1.99,4398240,ASML
1995-04-25,2.15,2.23,2.15,2.21,983957,ASML
1995-04-26,2.23,2.25,2.15,2.15,2085365,ASML
1995-04-27,2.24,2.26,2.21,2.22,1733013,ASML
1995-04-28,2.15,2.23,2.12,2.23,817227,ASML
1995-05-01,2.14,2.17,2.13,2.17,820512,ASML
1995-05-02,2.15,2.17,2.13,2.17,272683,ASML
1995-05-03,2.21,2.22,2.13,2.13,1546571,ASML
1995-05-04,2.35,2.44,2.22,2.22,6742325,ASML
1995-05-05,2.38,2.43,2.35,2.35,1885781,ASML
1995-05-08,2.42,2.45,2.36,2.37,1213109,ASML
1995-05-09,2.35,2.42,2.33,2.42,2055797,ASML
1995-05-10,2.27,2.32,2.26,2.32,3379787,ASML
1995-05-11,2.22,2.29,2.22,2.29,749877,ASML
1995-05-12,2.35,2.4,2.22,2.22,1915349,ASML
1995-05-15,2.42,2.44,2.36,2.38,1425835,ASML
1995-05-16,2.42,2.43,2.4,2.41,536331,ASML
1995-05-17,2.66,2.69,2.5,2.52,5533323,ASML
1995-05-18,2.74,2.82,2.68,2.75,2813888,ASML
1995-05-19,2.65,2.71,2.64,2.64,1774080,ASML
1995-05-22,2.61,2.69,2.57,2.67,607787,ASML
1995-05-23,2.71,2.71,2.56,2.62,2675083,ASML
1995-05-24,2.79,2.86,2.76,2.77,5276245,ASML
1995-05-25,2.7,2.85,2.7,2.84,1796256,ASML
1995-05-26,2.68,2.73,2.68,2.71,509227,ASML
1995-05-30,2.58,2.74,2.56,2.7,1418443,ASML
1995-05-31,2.53,2.57,2.47,2.53,2255381,ASML
1995-06-01,2.57,2.57,2.51,2.54,292395,ASML
1995-06-02,2.61,2.63,2.5,2.52,1369163,ASML
1995-06-05,2.64,2.65,2.61,2.62,768768,ASML
1995-06-06,2.58,2.63,2.58,2.61,487051,ASML
1995-06-07,2.6,2.64,2.58,2.62,560149,ASML
1995-06-08,2.62,2.65,2.62,2.63,251328,ASML
1995-06-09,2.65,2.68,2.62,2.65,177408,ASML
1995-06-12,2.64,2.66,2.64,2.65,154411,ASML
1995-06-13,2.65,2.68,2.64,2.67,285003,ASML
1995-06-14,2.61,2.64,2.61,2.64,523189,ASML
1995-06-15,2.62,2.68,2.59,2.61,925643,ASML
1995-06-16,2.62,2.65,2.62,2.65,175765,ASML
1995-06-19,2.65,2.66,2.62,2.62,1864427,ASML
1995-06-20,2.66,2.67,2.63,2.65,4287360,ASML
1995-06-21,2.64,2.69,2.64,2.69,1582709,ASML
1995-06-22,2.6,2.66,2.59,2.63,534688,ASML
1995-06-23,2.6,2.62,2.54,2.59,2169141,ASML
1995-06-26,2.67,2.71,2.62,2.64,1710016,ASML
1995-06-27,2.62,2.69,2.61,2.67,758091,ASML
1995-06-28,2.58,2.6,2.57,2.59,358923,ASML
1995-06-29,2.76,2.79,2.6,2.6,882112,ASML
1995-06-30,2.82,2.92,2.75,2.75,1806933,ASML
1995-07-03,2.91,2.91,2.88,2.91,212725,ASML
1995-07-05,3.04,3.08,3.01,3.03,2205280,ASML
1995-07-06,3.04,3.18,2.99,3.11,1107979,ASML
1995-07-07,3.11,3.16,3.08,3.08,744128,ASML
1995-07-10,3.18,3.19,3.14,3.14,487872,ASML
1995-07-11,3.12,3.17,3.12,3.17,1273067,ASML
1995-07-12,3.28,3.3,3.13,3.13,2828672,ASML
1995-07-13,3.78,3.93,3.33,3.33,10247776,ASML
1995-07-14,3.64,3.69,3.39,3.51,6320981,ASML
1995-07-17,3.66,3.7,3.63,3.63,4528832,ASML
1995-07-18,3.55,3.71,3.54,3.69,2629909,ASML
1995-07-19,3.52,3.52,3.1,3.43,2351477,ASML
1995-07-20,3.81,3.83,3.47,3.5,1821717,ASML
1995-07-21,3.9,4.02,3.63,3.75,1379840,ASML
1995-07-24,4.04,4.12,3.89,3.89,802443,ASML
