Date,Close,High,Low,Open,Volume,Symbol
1990-08-17,1.56,1.61,1.5,1.5,17904800,EXPO
1990-08-20,1.61,1.64,1.53,1.56,2821600,EXPO
1990-08-21,1.63,1.67,1.56,1.59,5016000,EXPO
1990-08-22,1.69,1.75,1.61,1.69,642400,EXPO
1990-08-23,1.61,1.72,1.59,1.72,2606400,EXPO
1990-08-24,1.64,1.69,1.59,1.69,767200,EXPO
1990-08-27,1.76,1.77,1.64,1.69,531200,EXPO
1990-08-28,1.73,1.77,1.69,1.77,600800,EXPO
1990-08-29,1.69,1.77,1.69,1.75,464800,EXPO
1990-08-30,1.73,1.73,1.67,1.69,268000,EXPO
1990-08-31,1.69,1.75,1.67,1.67,720800,EXPO
1990-09-04,1.67,1.75,1.67,1.75,196800,EXPO
1990-09-05,1.69,1.72,1.69,1.69,9600,EXPO
1990-09-06,1.75,1.8,1.69,1.69,916000,EXPO
1990-09-07,1.73,1.75,1.72,1.75,164000,EXPO
1990-09-10,1.75,1.75,1.72,1.72,365600,EXPO
1990-09-11,1.72,1.75,1.69,1.75,113600,EXPO
1990-09-12,1.69,1.75,1.69,1.75,225600,EXPO
1990-09-13,1.64,1.73,1.64,1.69,1839200,EXPO
1990-09-14,1.64,1.69,1.64,1.64,372000,EXPO
1990-09-17,1.67,1.67,1.64,1.67,590400,EXPO
1990-09-18,1.64,1.64,1.64,1.64,5600,EXPO
1990-09-19,1.67,1.72,1.64,1.67,165600,EXPO
1990-09-20,1.69,1.72,1.67,1.67,536800,EXPO
1990-09-21,1.75,1.75,1.67,1.67,580000,EXPO
1990-09-24,1.67,1.72,1.67,1.72,673600,EXPO
1990-09-25,1.68,1.72,1.67,1.69,1116000,EXPO
1990-09-26,1.67,1.72,1.67,1.67,509600,EXPO
1990-09-27,1.68,1.68,1.64,1.67,1263200,EXPO
1990-09-28,1.64,1.67,1.64,1.67,1484000,EXPO
1990-10-01,1.64,1.64,1.61,1.61,38400,EXPO
1990-10-02,1.81,1.83,1.72,1.72,1228000,EXPO
1990-10-03,1.79,1.83,1.75,1.83,609600,EXPO
1990-10-04,1.75,1.8,1.72,1.75,226400,EXPO
1990-10-05,1.72,1.75,1.69,1.69,186400,EXPO
1990-10-08,1.75,1.75,1.69,1.75,48800,EXPO
1990-10-09,1.72,1.72,1.72,1.72,110400,EXPO
1990-10-10,1.69,1.77,1.69,1.77,25600,EXPO
1990-10-11,1.72,1.72,1.69,1.69,40000,EXPO
1990-10-12,1.69,1.72,1.69,1.69,74400,EXPO
1990-10-15,1.67,1.72,1.67,1.69,81600,EXPO
1990-10-16,1.68,1.68,1.67,1.67,145600,EXPO
1990-10-17,1.61,1.67,1.59,1.64,52800,EXPO
1990-10-18,1.69,1.69,1.59,1.59,184800,EXPO
1990-10-19,1.67,1.72,1.61,1.69,223200,EXPO
1990-10-22,1.91,1.93,1.72,1.75,244000,EXPO
1990-10-23,1.88,1.93,1.88,1.88,248800,EXPO
1990-10-24,1.88,1.91,1.88,1.88,15200,EXPO
1990-10-25,1.96,2.01,1.91,1.91,1026400,EXPO
1990-10-26,1.91,1.96,1.91,1.96,517600,EXPO
1990-10-29,1.85,1.92,1.84,1.91,129600,EXPO
1990-10-30,1.83,1.83,1.77,1.83,65600,EXPO
1990-10-31,1.91,1.91,1.8,1.8,84800,EXPO
1990-11-01,1.93,1.93,1.85,1.85,228800,EXPO
1990-11-02,1.88,1.88,1.88,1.88,8000,EXPO
1990-11-05,1.85,1.93,1.85,1.93,296000,EXPO
1990-11-06,1.8,1.88,1.8,1.8,35200,EXPO
1990-11-07,1.8,1.8,1.8,1.8,11200,EXPO
1990-11-08,1.67,1.8,1.67,1.8,162400,EXPO
1990-11-09,1.73,1.77,1.69,1.69,188000,EXPO
1990-11-12,1.91,1.91,1.72,1.72,572000,EXPO
1990-11-13,1.88,1.93,1.85,1.91,460800,EXPO
1990-11-14,1.88,1.91,1.85,1.85,72000,EXPO
1990-11-15,1.93,1.93,1.85,1.88,313600,EXPO
1990-11-16,1.88,1.93,1.88,1.88,239200,EXPO
1990-11-19,1.72,1.83,1.61,1.83,617600,EXPO
1990-11-20,1.77,1.8,1.75,1.8,324000,EXPO
1990-11-21,1.8,1.8,1.77,1.77,166400,EXPO
1990-11-23,1.8,1.8,1.77,1.77,152000,EXPO
1990-11-26,1.77,1.77,1.77,1.77,16000,EXPO
1990-11-27,1.8,1.85,1.77,1.8,64800,EXPO
1990-11-28,1.8,1.8,1.77,1.77,8800,EXPO
1990-11-29,1.77,1.83,1.77,1.8,83200,EXPO
1990-11-30,1.83,1.83,1.83,1.83,800,EXPO
1990-12-03,1.83,1.85,1.8,1.85,103200,EXPO
1990-12-04,1.85,1.85,1.83,1.83,24800,EXPO
1990-12-05,1.85,1.85,1.77,1.85,229600,EXPO
1990-12-06,1.96,1.96,1.85,1.85,111200,EXPO
1990-12-07,1.96,1.96,1.91,1.91,204800,EXPO
1990-12-10,1.93,1.93,1.93,1.93,8000,EXPO
1990-12-11,1.88,1.93,1.85,1.93,256000,EXPO
1990-12-12,1.8,1.91,1.8,1.91,54400,EXPO
1990-12-13,1.85,1.85,1.8,1.8,36000,EXPO
1990-12-14,1.85,1.85,1.85,1.85,0,EXPO
1990-12-17,1.83,1.88,1.83,1.88,298400,EXPO
1990-12-18,1.93,1.93,1.83,1.83,52000,EXPO
1990-12-19,2.1,2.15,1.96,1.96,517600,EXPO
1990-12-20,1.91,2.04,1.91,1.96,342400,EXPO
1990-12-21,1.91,1.99,1.91,1.99,336000,EXPO
1990-12-24,1.99,1.99,1.93,1.96,34400,EXPO
