Date,Close,High,Low,Open,Volume,Symbol
1990-08-13,1.56,1.61,1.5,1.5,17904800,EXPO
1990-08-20,1.64,1.75,1.53,1.56,11853600,EXPO
1990-08-27,1.69,1.77,1.64,1.69,2585600,EXPO
1990-09-03,1.73,1.8,1.67,1.75,1286400,EXPO
1990-09-10,1.64,1.75,1.64,1.72,2916000,EXPO
1990-09-17,1.75,1.75,1.64,1.67,1878400,EXPO
1990-09-24,1.64,1.72,1.64,1.72,5046400,EXPO
1990-10-01,1.72,1.83,1.61,1.61,2288800,EXPO
1990-10-08,1.69,1.77,1.69,1.75,299200,EXPO
1990-10-15,1.67,1.72,1.59,1.69,688000,EXPO
1990-10-22,1.91,2.01,1.72,1.75,2052000,EXPO
1990-10-29,1.88,1.93,1.77,1.91,516800,EXPO
1990-11-05,1.73,1.93,1.67,1.93,692800,EXPO
1990-11-12,1.88,1.93,1.72,1.72,1657600,EXPO
1990-11-19,1.8,1.83,1.61,1.83,1260000,EXPO
1990-11-26,1.83,1.85,1.77,1.77,173600,EXPO
1990-12-03,1.96,1.96,1.77,1.85,673600,EXPO
1990-12-10,1.85,1.93,1.8,1.93,354400,EXPO
1990-12-17,1.91,2.15,1.83,1.88,1546400,EXPO
1990-12-24,1.88,1.99,1.88,1.96,445600,EXPO
1990-12-31,1.8,1.96,1.77,1.96,2088000,EXPO
1991-01-07,1.91,1.96,1.77,1.8,2813600,EXPO
1991-01-14,1.88,2.04,1.88,1.93,1368000,EXPO
1991-01-21,2.04,2.04,1.91,1.91,2205600,EXPO
1991-01-28,2.15,2.2,1.99,2.04,2308800,EXPO
1991-02-04,2.42,2.42,2.07,2.15,1257600,EXPO
1991-02-11,2.53,2.79,2.31,2.42,3343200,EXPO
1991-02-18,2.69,2.69,2.53,2.53,1600800,EXPO
1991-02-25,2.61,2.66,2.39,2.66,1681600,EXPO
1991-03-04,2.63,2.66,2.55,2.61,786400,EXPO
1991-03-11,2.9,3.06,2.53,2.63,3884000,EXPO
1991-03-18,2.87,2.98,2.85,2.96,1806400,EXPO
1991-03-25,2.9,2.98,2.87,2.93,984800,EXPO
1991-04-01,3.12,3.22,2.9,2.98,832800,EXPO
1991-04-08,3.04,3.2,3.01,3.12,960800,EXPO
1991-04-15,2.9,3.14,2.87,3.12,1091200,EXPO
1991-04-22,2.9,2.9,2.85,2.87,524000,EXPO
1991-04-29,3.01,3.06,2.85,2.85,950400,EXPO
1991-05-06,2.9,3.06,2.9,3.01,635200,EXPO
1991-05-13,2.66,2.98,2.55,2.9,1484000,EXPO
1991-05-20,2.39,2.69,2.36,2.66,2166400,EXPO
1991-05-27,2.66,2.66,2.39,2.47,1226400,EXPO
1991-06-03,2.71,2.85,2.58,2.58,1056000,EXPO
1991-06-10,2.58,2.71,2.5,2.61,369600,EXPO
1991-06-17,2.44,2.55,2.28,2.53,1266400,EXPO
1991-06-24,1.85,2.42,1.77,2.42,9352800,EXPO
1991-07-01,1.72,1.85,1.64,1.85,5616800,EXPO
1991-07-08,1.69,1.77,1.56,1.67,2972800,EXPO
1991-07-15,1.61,1.72,1.59,1.67,4415200,EXPO
1991-07-22,1.72,1.8,1.61,1.61,2738400,EXPO
1991-07-29,1.64,1.75,1.59,1.72,1096000,EXPO
1991-08-05,1.53,1.65,1.37,1.64,1736800,EXPO
1991-08-12,1.09,1.53,1.05,1.53,5697600,EXPO
1991-08-19,1.02,1.1,0.97,0.99,1576000,EXPO
1991-08-26,1.34,1.34,1.02,1.1,1316800,EXPO
1991-09-02,1.21,1.34,1.16,1.34,1836000,EXPO
1991-09-09,1.26,1.26,1.18,1.22,744000,EXPO
1991-09-16,1.26,1.29,1.18,1.26,1800000,EXPO
1991-09-23,1.53,1.53,1.16,1.25,2124000,EXPO
1991-09-30,1.37,1.53,1.34,1.45,965600,EXPO
1991-10-07,1.34,1.4,1.26,1.4,673600,EXPO
1991-10-14,1.61,1.61,1.32,1.37,679200,EXPO
1991-10-21,1.75,1.88,1.56,1.61,1485600,EXPO
1991-10-28,1.69,1.77,1.61,1.73,758400,EXPO
1991-11-04,1.6,1.67,1.59,1.61,630400,EXPO
1991-11-11,1.5,1.64,1.48,1.59,583200,EXPO
1991-11-18,1.5,1.56,1.48,1.53,732800,EXPO
1991-11-25,1.32,1.5,1.26,1.48,528800,EXPO
1991-12-02,1.24,1.34,1.24,1.29,305600,EXPO
1991-12-09,1.34,1.34,1.13,1.24,1381600,EXPO
1991-12-16,1.42,1.53,1.32,1.34,1584000,EXPO
1991-12-23,1.37,1.42,1.32,1.41,205600,EXPO
1991-12-30,1.56,1.56,1.32,1.37,2249600,EXPO
1992-01-06,1.48,1.61,1.4,1.48,748000,EXPO
1992-01-13,1.48,1.53,1.42,1.42,1235200,EXPO
1992-01-20,1.42,1.53,1.32,1.53,1452000,EXPO
1992-01-27,1.53,1.53,1.34,1.42,1461600,EXPO
1992-02-03,1.8,1.91,1.5,1.53,2133600,EXPO
1992-02-10,1.61,1.8,1.61,1.75,3662400,EXPO
1992-02-17,1.56,1.64,1.5,1.64,577600,EXPO
1992-02-24,1.5,1.56,1.5,1.56,2232800,EXPO
1992-03-02,1.42,1.56,1.4,1.5,436800,EXPO
1992-03-09,1.16,1.4,0.94,1.4,4610400,EXPO
1992-03-16,1.11,1.16,1.07,1.16,429600,EXPO
1992-03-23,0.99,1.16,0.97,1.14,2012000,EXPO
1992-03-30,1.02,1.07,0.97,1.07,526400,EXPO
