fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
2007-03-31;None;38170750;-29461500;18250;-19983250;-19539250;-13367250;2450500;-19539250;;TSLA
2007-12-31;None;62853250;-49928500;3685500;-19626000;-20695500;-13103000;2407500;-20695500;;TSLA
2008-03-31;None;62853250;-49928500;3685500;-19626000;-20695500;-13103000;2407500;-20695500;;TSLA
2008-09-30;None;251413000;-199714000;14162000;-23224000;-25498000;-22354000;144000;-25498000;;TSLA
2008-12-31;None;251413000;-199714000;14162000;-23224000;-25498000;-22354000;144000;-25498000;;TSLA
2009-03-31;None;95986750;-63380750;20886000;-16594000;-16016000;-16163000;902000;-16016000;;TSLA
2009-06-30;None;386561000;-230645000;26945000;-8087000;-10867000;-12166000;2527000;-10867000;;TSLA
2009-09-30;None;386561000;-230645000;45527000;-4291000;-4615000;-23489000;2256000;-4615000;;TSLA
2009-12-31;None;383947000;-253523000;18585000;-22925000;-24242000;-29007000;6199000;-24242000;;TSLA
2010-03-31;None;101141000;44179000;20812000;-25998000;-29519000;-27329000;5472000;-29519000;;TSLA
2010-06-30;None;457749000;-309775000;28405000;-31362000;-38517000;-17862000;12200000;-38517000;-0.0271;TSLA
2010-09-30;None;141698000;219923000;31241000;-37834000;-34935000;-45957000;7768000;-34934000;-0.03;TSLA
2010-12-31;None;179034000;207048000;36286000;-51645000;-51358000;-34284000;17148000;-51358000;-0.04;TSLA
2011-03-31;None;239551000;167738000;49030000;-47346000;-48941000;-43297000;20476000;-48941000;-0.03;TSLA
2011-06-30;0;297703000;348452000;58171000;-58739000;-58903000;-22488000;54314000;-58903000;-0.04;TSLA
2011-09-30;0;406132000;294118000;57666000;-64477000;-65078000;-21491000;68844000;-65078000;-0.04;TSLA
2011-12-31;0;489403000;224045000;39375000;-80927000;-81489000;-27088000;54262000;-81489000;-0.05;TSLA
2012-03-31;0;607226000;153874000;30167000;-88763000;-89873000;-63300000;67987000;-89873000;-0.05;TSLA
2012-06-30;0;714654000;62215000;26653000;-106175000;-105603000;-64264000;58003000;-105603000;-0.06;TSLA
2012-09-30;0;837052000;-27875000;50104000;-108460000;-110804000;-101026000;62398000;-110806000;-0.06;TSLA
2012-12-31;0;989490000;124700000;306332000;-90883000;-89931000;-60061000;41483000;-89931000;-0.04;TSLA
