fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1996-08-31;;;;;;;;;;0.04;ADBE
1996-11-30;;;;;;;;;;0.06;ADBE
1997-02-28;;;;;;;;;;0.08;ADBE
1997-05-31;;;;;;;;;;0.07;ADBE
1997-08-31;;;;;;;;;;0.07;ADBE
1997-11-30;;;;;;;;;;0.07;ADBE
1998-02-28;;;;;;;;;;0.04;ADBE
1998-05-31;;;;;;;;;;0.05;ADBE
1998-08-31;;;;;;;;;;0.05;ADBE
1998-11-30;;;;;;;;;;0.1;ADBE
1999-02-28;;;;;;;;;;0.08;ADBE
1999-05-31;;;;;;;;;;0.09;ADBE
1999-08-31;;;;;;;;;;0.1;ADBE
1999-11-30;;;;;;;;;;0.12;ADBE
2000-02-29;;;;;;;;;;0.12;ADBE
2000-05-31;;;;;;;;;;0.13;ADBE
2000-08-31;;;;;;;;;;0.14;ADBE
2000-11-30;;;;;;;;;;0.17;ADBE
2001-02-28;;;;;;;;;;0.17;ADBE
2001-05-31;;;;;;;;;;0.17;ADBE
2001-08-31;;;;;;;;;;0.14;ADBE
2001-11-30;;;;;;;;;;0.1;ADBE
2002-02-28;;;;;;;;;;0.11;ADBE
2002-05-31;;;;;;;;;;0.14;ADBE
2002-08-31;;;;;;;;;;0.11;ADBE
2002-11-30;;;;;;;;;;0.13;ADBE
2003-02-28;;;;;;;;;;0.13;ADBE
2003-05-31;;;;;;;;;;0.14;ADBE
2003-08-31;;;;;;;;;;0.14;ADBE
2003-11-30;;;;;;;;;;0.17;ADBE
2004-02-29;;;;;;;;;;0.25;ADBE
2004-05-31;;;;;;;;;;0.22;ADBE
2004-08-31;;;;;;;;;;0.22;ADBE
2004-11-30;;;;;;;;;;0.22;ADBE
2005-02-28;;;;;;;;;;0.27;ADBE
2005-05-31;;;;;;;;;;0.28;ADBE
2005-08-31;118683000.0;525444000.0;2080151000.0;487039000.0;183588000.0;144916000.0;173021000.0;17470000.0;144916000.0;0.29;ADBE
2005-11-30;118683000.0;575989000.0;1864326000.0;510371000.0;191930000.0;156251000.0;222253000.0;10769000.0;156251000.0;0.3;ADBE
2006-02-28;2126173000.0;725121000.0;5076612000.0;655478000.0;148964000.0;105072000.0;177801000.0;11634000.0;105072000.0;0.17;ADBE
2006-05-31;2143625000.0;732879000.0;4768607000.0;635456000.0;149143000.0;123097000.0;241266000.0;19683000.0;123097000.0;0.2;ADBE
2006-08-31;2147557000.0;706966000.0;4913819000.0;602191000.0;110065000.0;94396000.0;180191000.0;18852000.0;94396000.0;0.29;ADBE
