fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1997-06-30;;;;;;;;;;-0.02;AMZN
1997-09-30;;;;;;;;;;-0.03;AMZN
1997-12-31;;;;;;;;;;-0.03;AMZN
1998-03-31;;;;;;;;;;-0.03;AMZN
1998-06-30;;;;;;;;;;-0.07;AMZN
1998-09-30;;;;;;;;;;-0.08;AMZN
1998-12-31;;;;;;;;;;-0.07;AMZN
1999-03-31;;;;;;;;;;-0.01;AMZN
1999-06-30;;;;;;;;;;-0.01;AMZN
1999-09-30;;;;;;;;;;-0.01;AMZN
1999-12-31;;;;;;;;;;-0.03;AMZN
2000-03-31;;;;;;;;;;-0.02;AMZN
2000-06-30;;;;;;;;;;-0.02;AMZN
2000-09-30;;;;;;;;;;-0.01;AMZN
2000-12-31;;;;;;;;;;-0.01;AMZN
2001-03-31;;;;;;;;;;-0.01;AMZN
2001-06-30;;;;;;;;;;-0.01;AMZN
2001-09-30;;;;;;;;;;-0.01;AMZN
2001-12-31;;;;;;;;;;0.09;AMZN
2002-03-31;;;;;;;;;;-0.01;AMZN
2002-06-30;;;;;;;;;;-0.01;AMZN
2002-09-30;;;;;;;;;;-0.0924;AMZN
2002-12-31;;;;;;;;;;0.01;AMZN
2003-03-31;;;;;;;;;;0.01;AMZN
2003-06-30;;;;;;;;;;0.01;AMZN
2003-09-30;;;;;;;;;;0.01;AMZN
2003-12-31;;;;;;;;;;0.01;AMZN
2004-03-31;;;;;;;;;;0.01;AMZN
2004-06-30;;;;;;;;;;0.01;AMZN
2004-09-30;;;;;;;;;;0.01;AMZN
2004-12-31;;;;;;;;;;0.02;AMZN
2005-03-31;;;;;;;;;;0.01;AMZN
2005-06-30;;;;;;;;;;0.01;AMZN
2005-09-30;159000000;2826000000;6000000;1858000000;55000000;30000000;153000000;76000000;30000000;0.07;AMZN
2005-12-31;159000000;3450000000;246000000;2977000000;165000000;173000000;630000000;55000000;199000000;0.02;AMZN
2006-03-31;193000000;2666000000;324000000;2279000000;106000000;51000000;-303000000;46000000;51000000;0.01;AMZN
2006-06-30;193000000;2782000000;383000000;2139000000;47000000;22000000;130000000;58000000;22000000;0.05;AMZN
2006-09-30;194000000;3072000000;196000000;2307000000;40000000;19000000;130000000;62000000;19000000;0.05;AMZN
2006-12-31;195000000;3932000000;431000000;3986000000;197000000;97000000;744000000;50000000;97000000;0.01;AMZN
2007-03-31;196000000;3308000000;353000000;3015000000;145000000;111000000;-279000000;34000000;111000000;0.01;AMZN
2007-06-30;214000000;3434000000;550000000;2886000000;116000000;78000000;299000000;47000000;78000000;0.01;AMZN
2007-09-30;218000000;3857000000;761000000;3262000000;123000000;80000000;237000000;69000000;80000000;0.01;AMZN
2007-12-31;222000000;5288000000;1197000000;5672000000;271000000;207000000;1148000000;73000000;207000000;0.02;AMZN
2008-03-31;392000000;4413000000;1470000000;4135000000;198000000;143000000;-645000000;61000000;143000000;0.02;AMZN
2008-06-30;400000000;4092000000;2230000000;4063000000;217000000;158000000;347000000;69000000;158000000;0.02;AMZN
2008-09-30;405000000;4039000000;2527000000;4264000000;154000000;118000000;424000000;102000000;118000000;0.01;AMZN
2008-12-31;438000000;5642000000;2672000000;6704000000;273000000;225000000;1571000000;102000000;225000000;0.03;AMZN
2009-03-31;433000000;4062000000;2918000000;4889000000;244000000;177000000;-585000000;55000000;177000000;0.02;AMZN
2009-06-30;451000000;4419000000;3256000000;4651000000;159000000;142000000;468000000;78000000;142000000;0.02;AMZN
