fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
2005-09-30;None;657933000;8793068000;1578456000;550356000;381182000;646747000;292532000;381182000;;GOOG
2005-12-31;None;852856000;9418957000;1919092000;569639000;372208000;658434000;245831000;372208000;;GOOG
2006-03-31;318806000;1051602000;10243268000;2253800000;810626000;592291000;824804000;344938000;592291000;;GOOG
2006-06-30;318597000;1038998000;13357008000;2456000000;976354000;721077000;840586000;887506000;721077000;;GOOG
2006-09-30;337145000;1296145000;14397087000;2689700000;1039532000;733361000;1004324000;303716000;733361000;;GOOG
2006-12-31;1545119000;1433511000;17039840000;3205498000;723484000;1030717000;910794000;366638000;1030717000;;GOOG
2007-03-31;1620566000;1638228000;18377210000;3664000000;1352279000;1002162000;1219593000;596893000;1002162000;;GOOG
2007-06-30;1723124000;1764277000;19659608000;3872000000;1104630000;925120000;1229926000;575098000;925120000;;GOOG
2007-09-30;2277397000;2303879000;21036771000;4231400000;1317891000;1069989000;1632643000;552640000;1069989000;;GOOG
2007-12-31;2299368000;2646127000;22689679000;4826686000;1608198000;1206449000;1693248000;678209000;1206449000;;GOOG
2008-03-31;4791399000;3267447000;24337535000;5186000000;1546192000;1307086000;1779446000;841597000;1307086000;;GOOG
2008-06-30;4853805000;3266771000;25913015000;5367200000;1577953000;1247391000;1766154000;697517000;1247391000;;GOOG
2008-09-30;4821646000;3332112000;27474862000;5541400000;1647574000;1289938000;2184958000;451503000;1289939000;;GOOG
2008-12-31;4839854000;3528713000;28238862000;5700950000;1860251000;382442000;2122299000;367844000;382442000;;GOOG
2009-03-31;4830315000;3664934000;29848095000;5509000000;1884000000;1423000000;2249512000;262755000;1422828000;;GOOG
2009-06-30;4836913000;3563904000;31594856000;5523000000;1874000000;1485000000;1609172000;139437000;1484545000;;GOOG
2009-09-30;4849217000;3981092000;33721753000;5945000000;2074000000;1639000000;2725983000;186339000;1638975000;;GOOG
2009-12-31;4902565000;4492554000;36004224000;6673863000;2481021000;1974100000;2731531000;221357000;1974100000;;GOOG
2010-03-31;5122000000;4588000000;38283000000;6775000000;2488000000;1955000000;2584000000;239000000;1955000000;;GOOG
2010-06-30;5788000000;7432000000;40613000000;6820000000;2365000000;1840000000;2085000000;476000000;1840000000;;GOOG
2010-09-30;6099000000;10052000000;43290000000;7286000000;2714000000;2167000000;2886000000;757000000;2167000000;;GOOG
2010-12-31;6256000000;11610000000;46241000000;8440000000;2982000000;2543000000;3526000000;2545000000;2543000000;;GOOG
2011-03-31;6308000000;11109000000;48851000000;8575000000;2396000000;1798000000;3172000000;890000000;1798000000;;GOOG
2011-06-30;6677000000;12870000000;51991000000;9026000000;3098000000;2505000000;3519000000;917000000;2505000000;;GOOG
2011-09-30;6989000000;14258000000;54830000000;9720000000;3381000000;2729000000;3950000000;680000000;2729000000;;GOOG
2011-12-31;7346000000;14429000000;58145000000;10583000000;3509000000;2704000000;3924000000;951000000;2705000000;;GOOG
2012-03-31;7325000000;15432000000;61712000000;10645000000;3565000000;2890000000;3694000000;607000000;2890000000;;GOOG
2012-06-30;10120000000;21330000000;64721000000;11807000000;3512000000;2785000000;4252000000;774000000;2785000000;;GOOG
2012-09-30;10485000000;21702000000;68028000000;13304000000;2826000000;2176000000;4004000000;872000000;2176000000;;GOOG
2012-12-31;10537000000;22083000000;71715000000;13215000000;3606000000;2886000000;4669000000;1020000000;2886000000;;GOOG
2013-03-31;10595000000;21219000000;75473000000;12951000000;3903000000;3346000000;3633000000;1203000000;3346000000;;GOOG
2013-06-30;11396000000;22330000000;78852000000;13107000000;3720000000;3228000000;4705000000;1611000000;3228000000;;GOOG
2013-09-30;11426000000;22079000000;82989000000;13754000000;3794000000;2970000000;5083000000;2289000000;2970000000;;GOOG
