fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1996-02-29;;;;;;;;;;0.05;NKE
1996-05-31;;;;;;;;;;0.07;NKE
1996-08-31;;;;;;;;;;0.1;NKE
1996-11-30;;;;;;;;;;0.08;NKE
1997-02-28;;;;;;;;;;0.1;NKE
1997-05-31;;;;;;;;;;0.07;NKE
1997-08-31;;;;;;;;;;0.11;NKE
1997-11-30;;;;;;;;;;0.06;NKE
1998-02-28;;;;;;;;;;0.03;NKE
1998-05-31;;;;;;;;;;0.01;NKE
1998-08-31;;;;;;;;;;0.07;NKE
1998-11-30;;;;;;;;;;0.03;NKE
1999-02-28;;;;;;;;;;0.06;NKE
1999-05-31;;;;;;;;;;0.05;NKE
1999-08-31;;;;;;;;;;0.09;NKE
1999-11-30;;;;;;;;;;0.05;NKE
2000-02-29;;;;;;;;;;0.07;NKE
2000-05-31;;;;;;;;;;0.06;NKE
2000-08-31;;;;;;;;;;0.1;NKE
2000-11-30;;;;;;;;;;0.06;NKE
2001-02-28;;;;;;;;;;0.04;NKE
2001-05-31;;;;;;;;;;0.08;NKE
2001-08-31;;;;;;;;;;0.09;NKE
2001-11-30;;;;;;;;;;0.06;NKE
2002-02-28;;;;;;;;;;0.06;NKE
2002-05-31;;;;;;;;;;0.1;NKE
2002-08-31;;;;;;;;;;0.1;NKE
2002-11-30;;;;;;;;;;0.07;NKE
2003-02-28;;;;;;;;;;0.06;NKE
2003-05-31;;;;;;;;;;0.12;NKE
2003-08-31;;;;;;;;;;0.12;NKE
2003-11-30;;;;;;;;;;0.08;NKE
2004-02-29;;;;;;;;;;0.09;NKE
2004-05-31;;;;;;;;;;0.14;NKE
2004-08-31;;;;;;;;;;0.15;NKE
2004-11-30;;;;;;;;;;0.12;NKE
2005-02-28;;;;;;;;;;0.13;NKE
2005-05-31;;;;;;;;;;0.16;NKE
2005-08-31;540100000;3151900000;5963800000;3862000000;643700000;432300000;261700000;58500000;432300000;0.2;NKE
2005-11-30;539300000;3062600000;6081500000;3474700000;456700000;301100000;476500000;106200000;301100000;0.14;NKE
2006-02-28;541500000;3256600000;6261600000;3612800000;487500000;325800000;214900000;67400000;325800000;0.16;NKE
2006-05-31;130800000;3584400000;6285200000;4005400000;521300000;332800000;714800000;101600000;332800000;0.16;NKE
2006-08-31;130800000;3349600000;6220900000;4194100000;559500000;377200000;231800000;72300000;377200000;0.18;NKE
2006-11-30;130800000;3284100000;6538100000;3821700000;433400000;325600000;309800000;82800000;325600000;0.14;NKE
2007-02-28;130800000;3370600000;6848000000;3926900000;491900000;350800000;373200000;62000000;350800000;0.17;NKE
2007-05-31;130800000;3662900000;7025400000;4383200000;647000000;437900000;963900000;96400000;437900000;0.22;NKE
2007-08-31;130800000;3658900000;7354600000;4655100000;652300000;569700000;319500000;91800000;569700000;0.23;NKE
2007-11-30;130800000;3962400000;7492200000;4339500000;491600000;359400000;630400000;110100000;359400000;0.18;NKE
2008-02-29;130800000;4175000000;7613200000;4544400000;644700000;463800000;353900000;90400000;463800000;0.23;NKE
2008-05-31;448800000;4617400000;7825300000;5088000000;645100000;490500000;632500000;156900000;490500000;0.25;NKE
2008-08-31;425100000;4562200000;8032600000;5432200000;705700000;510500000;357600000;106700000;510500000;0.26;NKE
2008-11-30;376800000;4518500000;8116200000;4590100000;503200000;391000000;280700000;118200000;391000000;0.2;NKE
2009-02-28;187200000;4044900000;8210800000;4440800000;596400000;243800000;24100000;110400000;243800000;0.25;NKE
2009-05-31;193500000;4556500000;8693100000;4713000000;649500000;341400000;1073700000;120400000;341400000;0.18;NKE
2009-08-31;194900000;4100200000;9090400000;4799000000;670000000;513000000;709000000;80500000;513000000;0.26;NKE
2009-11-30;196200000;4134600000;9223800000;4405000000;493000000;375000000;668100000;92100000;375400000;0.19;NKE
2010-02-28;190700000;4147400000;9428900000;4733000000;655000000;497000000;511900000;67500000;496400000;0.25;NKE
2010-05-31;187600000;4665600000;9753700000;5076900000;668300000;521900000;1275200000;95000000;521900000;0.27;NKE
2010-08-31;192000000;4391000000;9660000000;5175000000;761000000;559000000;212000000;89000000;559000000;0.28;NKE
2010-11-30;192000000;4515000000;9949000000;4842000000;610000000;457000000;435000000;102000000;457000000;0.24;NKE
2011-02-28;194000000;4576000000;9902000000;5079000000;707000000;523000000;323000000;112000000;523000000;0.27;NKE
2011-05-31;205000000;5155000000;9843000000;5766000000;815000000;594000000;842000000;129000000;594000000;0.31;NKE
2011-08-31;204000000;4904000000;9899000000;6081000000;870000000;645000000;87000000;114000000;645000000;0.34;NKE
2011-11-30;201000000;4722000000;9843000000;5546000000;645000000;469000000;510000000;145000000;469000000;0.25;NKE
2012-02-29;202000000;4618000000;10176000000;5656000000;777000000;560000000;328000000;120000000;560000000;0.3;NKE
2012-05-31;131000000;5084000000;10381000000;6470000000;797000000;549000000;974000000;218000000;549000000;0.29;NKE
2012-08-31;202000000;5067000000;10047000000;6474000000;769000000;567000000;535000000;107000000;567000000;0.31;NKE
2012-11-30;131000000;5157000000;10014000000;5955000000;694000000;384000000;710000000;143000000;384000000;0.28;NKE
2013-02-28;131000000;4948000000;10667000000;6187000000;873000000;866000000;423000000;151000000;866000000;0.48;NKE
2013-05-31;131000000;6464000000;11081000000;6697000000;918000000;668000000;1359000000;235000000;668000000;0.37;NKE
2013-08-31;131000000;6392000000;11282000000;6971000000;1074000000;779000000;597000000;215000000;780000000;0.43;NKE
2013-11-30;131000000;6476000000;11344000000;6431000000;735000000;534000000;332000000;213000000;537000000;0.3;NKE
2014-02-28;131000000;6670000000;11133000000;6972000000;934000000;682000000;754000000;242000000;685000000;0.38;NKE
2014-05-31;131000000;7770000000;10824000000;7425000000;929000000;691000000;1320000000;210000000;691000000;0.39;NKE
