fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1999-04-30;;;;;;;;;;0.002;NVDA
1999-07-31;;;;;;;;;;0.002;NVDA
1999-10-31;;;;;;;;;;0.001;NVDA
2000-01-31;;;;;;;;;;0.001;NVDA
2000-04-30;;;;;;;;;;0.001;NVDA
2000-07-31;;;;;;;;;;0.001;NVDA
2000-10-31;;;;;;;;;;0.001;NVDA
2001-01-31;;;;;;;;;;0.001;NVDA
2001-04-30;;;;;;;;;;0.002;NVDA
2001-07-31;;;;;;;;;;0.002;NVDA
2001-10-31;;;;;;;;;;0.002;NVDA
2002-01-31;;;;;;;;;;0.004;NVDA
2002-04-30;;;;;;;;;;0.004;NVDA
2002-07-31;;;;;;;;;;0.001;NVDA
2002-10-31;;;;;;;;;;0.001;NVDA
2003-01-31;;;;;;;;;;0.001;NVDA
2003-04-30;;;;;;;;;;0.001;NVDA
2003-07-31;;;;;;;;;;0.001;NVDA
2003-10-31;;;;;;;;;;0.001;NVDA
2004-01-31;;;;;;;;;;0.003;NVDA
2004-04-30;;;;;;;;;;0.002;NVDA
2004-07-31;;;;;;;;;;0.002;NVDA
2004-10-31;;;;;;;;;;0.002;NVDA
2005-01-31;;;;;;;;;;0.003;NVDA
2005-04-30;;;;;;;;;;0.006;NVDA
2005-07-31;;;;;;;;;;0.003;NVDA
2005-10-31;133000000;456067000;1349441000;583415000;69572000;64447000;84099000;13466000;64447000;0.004;NVDA
2006-01-31;145317000;457543000;1457756000;633614000;112342000;98052000;225383000;23445000;98052000;0.004;NVDA
2006-04-30;204603000;552802000;1608651000;681807000;100685000;90676000;50396000;20667000;90676000;0.005;NVDA
2006-07-31;204000000;529000000;1654548000;687500000;95800000;86800000;17900000;20111000;86800000;0.0038;NVDA
2006-10-31;203657000;529281000;1654548000;820572000;117613000;106511000;289318000;28786000;106511000;0.007;NVDA
2007-01-31;301425000;668344000;2006919000;878873000;138514000;163506000;230395000;75692000;163506000;0.009;NVDA
2007-04-30;291077000;704974000;2095894000;844280000;141246000;132259000;295198000;26336000;132259000;0.007;NVDA
2007-07-31;293383000;775989000;2260278000;935253000;184760000;172732000;342402000;41367000;172732000;0.009;NVDA
2007-10-31;292934000;997337000;2477926000;1115597000;247841000;235661000;380125000;49703000;235661000;0.011;NVDA
2008-01-31;354057000;1129759000;2617912000;1202730000;262499000;256993000;252471000;70339000;256993000;0.012;NVDA
2008-04-30;371019000;1070280000;2737178000;1153388000;202979000;176805000;145245000;202173000;176805000;0.009;NVDA
2008-07-31;365800000;1297134000;2662915000;892676000;-155392000;-120929000;80957000;53514000;-120929000;0.003;NVDA
2008-10-31;366286000;1161823000;2487075000;897655000;65134000;61748000;43003000;109008000;61748000;0.005;NVDA
2009-01-31;369844000;956075000;2394652000;481140000;-156553000;-147665000;-19845000;42975000;-147665000;-0.004;NVDA
2009-04-30;369844000;859828000;2318876000;664231000;-230965000;-201338000;142128000;20777000;-201338000;-0.002;NVDA
2009-07-31;369844000;1051000000;2247409000;776520000;-110107000;-105302000;135117000;17656000;-105302000;0.002;NVDA
2009-10-31;369844000;1039939000;2423635000;903206000;107845000;107577000;141317000;16593000;107577000;0.005;NVDA
2010-01-31;369844000;920778000;2665140000;982488000;154253000;131076000;69245000;22575000;131076000;0.006;NVDA
2010-04-30;369844000;942385000;2860645000;1001813000;147393000;137594000;-5397000;17080000;137594000;0.006;NVDA
2010-07-31;369844000;970754000;2760514000;811208000;-175207000;-140961000;34344000;37644000;-140961000;0.001;NVDA
2010-10-31;369844000;1017699000;2897880000;843912000;103783000;84862000;212177000;21823000;84862000;0.004;NVDA
2011-01-31;369844000;1313784000;3181462000;886376000;198327000;171651000;434673000;21343000;171651000;0.006;NVDA
2011-04-30;369844000;1288936000;3447808000;962039000;154862000;135219000;172200000;31195000;135219000;0.006;NVDA
2011-07-31;593513000;1224145000;3689469000;1016517000;174030000;151573000;82021000;23323000;151573000;0.006;NVDA
2011-10-31;648053000;1115593000;3973450000;1066180000;197090000;178273000;244417000;39035000;178273000;0.007;NVDA
2012-01-31;641030000;1407204000;4145724000;953194000;140503000;116025000;410518000;45182000;116025000;0.005;NVDA
2012-04-30;641030000;1420739000;4287428000;924877000;72826000;60437000;-9208000;28923000;60437000;0.003;NVDA
2012-07-31;641030000;1438216000;4453665000;1044270000;139623000;119046000;200886000;61944000;119046000;0.006;NVDA
2012-10-31;641030000;1352298000;4722846000;1204110000;252217000;209080000;181485000;44684000;209080000;0.008;NVDA
2013-01-31;641030000;1584542000;4827703000;1106902000;200667000;173973000;451009000;47758000;173973000;0.007;NVDA
2013-04-30;641030000;1455343000;4824184000;954739000;88915000;77891000;175650000;65667000;77891000;0.0045;NVDA
2013-07-31;641030000;1397419000;4172173000;977238000;112656000;96448000;96469000;84986000;96448000;0.004;NVDA
2013-10-31;643179000;1390726000;4320647000;1053967000;142303000;118734000;162315000;38159000;118734000;0.005;NVDA
2014-01-31;643179000;2794496000;4456398000;1144218000;191394000;146917000;400712000;66374000;146917000;0.006;NVDA
2014-04-30;643179000;2697678000;4166985000;1103000000;174000000;137000000;151000000;29000000;137000000;0.006;NVDA
2014-07-31;643179000;2628933000;4304786000;1103000000;167000000;128000000;96000000;23000000;128000000;0.006;NVDA
2014-10-31;643179000;2681276000;4204593000;1225000000;220000000;173000000;216000000;39000000;172000000;0.008;NVDA
2015-01-31;618179000;2783386000;4417982000;1250514000;239453000;193128000;442729000;31045000;193128000;0.009;NVDA
2015-04-30;618000000;2735000000;4556000000;1151000000;184000000;134000000;246000000;30000000;134000000;0.006;NVDA
2015-07-31;618000000;2794000000;4185000000;1153000000;84000000;26000000;163000000;24000000;26000000;0.004;NVDA
2015-10-31;618000000;2709000000;4465000000;1305000000;257000000;246000000;255000000;17000000;246000000;0.011;NVDA
2016-01-31;618000000;2901000000;4469000000;1401000000;266000000;208000000;511000000;15000000;208000000;0.009;NVDA
2016-04-30;618000000;2912000000;4196000000;1305000000;253000000;208000000;319000000;55000000;208000000;0.008;NVDA
2016-07-31;618000000;2981000000;4480000000;1428000000;329000000;261000000;200000000;32000000;261000000;0.01;NVDA
2016-10-31;618000000;4288000000;5324000000;2004000000;637000000;542000000;432000000;38000000;543000000;0.021;NVDA
2017-01-31;618000000;4079000000;5762000000;2173000000;744000000;654000000;721000000;51000000;654000000;0.025;NVDA
2017-04-30;618000000;3278000000;6132000000;1937000000;552000000;507000000;282000000;54000000;507000000;0.02;NVDA
2017-07-31;618000000;3429000000;5973000000;2230000000;699000000;583000000;705000000;54000000;584000000;0.023;NVDA
2017-10-31;618000000;3478000000;6352000000;2636000000;911000000;838000000;1157000000;69000000;837000000;0.033;NVDA
2018-01-31;618000000;3770000000;7471000000;2911000000;1094000000;1119000000;1358000000;416000000;1119000000;0.039;NVDA
2018-04-30;618000000;3743000000;7717000000;3207000000;1326000000;1244000000;1445000000;118000000;1244000000;0.051;NVDA
2018-07-31;618000000;4087000000;8795000000;3123000000;1194000000;1101000000;913000000;129000000;1101000000;0.049;NVDA
2018-10-31;618000000;4182000000;9475000000;3181000000;1096000000;1230000000;487000000;150000000;1230000000;0.046;NVDA
2019-01-31;618000000;3950000000;9342000000;2205000000;338000000;566000000;898000000;203000000;566000000;0.02;NVDA
2019-04-30;618000000;4317000000;9704000000;2220000000;402000000;394000000;720000000;128000000;394000000;0.022;NVDA
2019-07-31;618000000;4439000000;10336000000;2579000000;619000000;552000000;936000000;113000000;553000000;0.031;NVDA
