fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1996-03-31;;;;;;;;;;0.08;UNH
1996-06-30;;;;;;;;;;0.05;UNH
1996-09-30;;;;;;;;;;0.06;UNH
1996-12-31;;;;;;;;;;0.06;UNH
1997-03-31;;;;;;;;;;0.07;UNH
1997-06-30;;;;;;;;;;0.07;UNH
1997-09-30;;;;;;;;;;0.07;UNH
1997-12-31;;;;;;;;;;0.07;UNH
1998-03-31;;;;;;;;;;0.08;UNH
1998-06-30;;;;;;;;;;0.08;UNH
1998-09-30;;;;;;;;;;0.08;UNH
1998-12-31;;;;;;;;;;0.08;UNH
1999-03-31;;;;;;;;;;0.09;UNH
1999-06-30;;;;;;;;;;0.1;UNH
1999-09-30;;;;;;;;;;0.1;UNH
1999-12-31;;;;;;;;;;0.11;UNH
2000-03-31;;;;;;;;;;0.12;UNH
2000-06-30;;;;;;;;;;0.13;UNH
2000-09-30;;;;;;;;;;0.14;UNH
2000-12-31;;;;;;;;;;0.14;UNH
2001-03-31;;;;;;;;;;0.16;UNH
2001-06-30;;;;;;;;;;0.17;UNH
2001-09-30;;;;;;;;;;0.18;UNH
2001-12-31;;;;;;;;;;0.19;UNH
2002-03-31;;;;;;;;;;0.23;UNH
2002-06-30;;;;;;;;;;0.25;UNH
2002-09-30;;;;;;;;;;0.28;UNH
2002-12-31;;;;;;;;;;0.3;UNH
2003-03-31;;;;;;;;;;0.32;UNH
2003-06-30;;;;;;;;;;0.36;UNH
2003-09-30;;;;;;;;;;0.39;UNH
2003-12-31;;;;;;;;;;0.42;UNH
2004-03-31;;;;;;;;;;0.44;UNH
2004-06-30;;;;;;;;;;0.47;UNH
2004-09-30;;;;;;;;;;0.52;UNH
2004-12-31;;;;;;;;;;0.55;UNH
2005-03-31;;;;;;;;;;0.58;UNH
2005-06-30;;;;;;;;;;0.61;UNH
2005-09-30;9783000000;18467000000;11229000000;11613000000;1323000000;800000000;1197000000;145000000;842000000;0.64;UNH
2005-12-31;16206000000;23641000000;17815000000;12045000000;1429000000;870000000;632000000;142000000;870000000;0.65;UNH
2006-03-31;16580000000;27428000000;17646000000;17581000000;1473000000;891000000;2888000000;171000000;899000000;0.68;UNH
2006-06-30;16619000000;28599000000;18038000000;17863000000;1667000000;981000000;1724000000;167000000;981000000;0.7;UNH
2006-09-30;16667000000;26924000000;19500000000;17970000000;1863000000;1112000000;314000000;172000000;1112000000;0.8;UNH
2006-12-31;16822000000;27510000000;20810000000;18128000000;1981000000;1175000000;1600000000;218000000;1175000000;0.86;UNH
2007-03-31;16889000000;29941000000;21068000000;19047000000;1582000000;927000000;2588000000;224000000;927000000;0.74;UNH
2007-06-30;16912000000;32089000000;21065000000;19000000000;2074000000;1228000000;1703000000;239000000;1228000000;0.87;UNH
2007-09-30;16909000000;29776000000;20665000000;18679000000;2155000000;1283000000;516000000;223000000;1283000000;0.95;UNH
2007-12-31;16854000000;30836000000;20063000000;18705000000;2038000000;1216000000;1070000000;185000000;1216000000;0.92;UNH
2008-03-31;19307000000;33784000000;19759000000;20304000000;1713000000;994000000;280000000;212000000;994000000;0.78;UNH
2008-06-30;20063000000;34764000000;19404000000;20272000000;673000000;337000000;600000000;203000000;337000000;0.67;UNH
2008-09-30;20051000000;33822000000;19885000000;20156000000;1598000000;920000000;1757000000;183000000;920000000;0.73;UNH
2008-12-31;20088000000;35035000000;20780000000;20454000000;1279000000;726000000;1601000000;193000000;726000000;0.78;UNH
2009-03-31;20078000000;34710000000;21375000000;22004000000;1668000000;984000000;1112000000;160000000;984000000;0.81;UNH
2009-06-30;20358000000;34345000000;21545000000;21655000000;1440000000;859000000;492000000;151000000;859000000;0.73;UNH
2009-09-30;20362000000;34551000000;22898000000;21695000000;1676000000;1035000000;2741000000;172000000;1035000000;0.89;UNH
2009-12-31;20727000000;35439000000;23606000000;21784000000;1575000000;944000000;1280000000;256000000;944000000;0.81;UNH
2010-03-31;20830000000;35222000000;24319000000;23193000000;2016000000;1191000000;1205000000;132000000;1191000000;1.03;UNH
2010-06-30;20985000000;35595000000;24829000000;23264000000;1901000000;1123000000;723000000;211000000;1123000000;0.99;UNH
2010-09-30;22855000000;37412000000;25611000000;23668000000;2145000000;1277000000;2904000000;205000000;1277000000;1.14;UNH
2010-12-31;22745000000;37238000000;25825000000;24030000000;1802000000;1043000000;1441000000;330000000;1043000000;1.05;UNH
2011-03-31;23393000000;38764000000;26571000000;25432000000;2221000000;1346000000;1224000000;213000000;1346000000;1.22;UNH
2011-06-30;23423000000;38752000000;27363000000;25234000000;2099000000;1267000000;1195000000;303000000;1267000000;1.16;UNH
2011-09-30;23723000000;43038000000;27872000000;25280000000;2070000000;1271000000;4964000000;290000000;1271000000;1.17;UNH
2011-12-31;23975000000;39597000000;28292000000;25774000000;2074000000;1258000000;-415000000;261000000;1258000000;1.17;UNH
2012-03-31;25754000000;43834000000;28856000000;27282000000;2317000000;1388000000;3586000000;269000000;1388000000;1.31;UNH
2012-06-30;26191000000;44090000000;29375000000;27265000000;2226000000;1337000000;2185000000;196000000;1337000000;1.27;UNH
2012-09-30;26339000000;41477000000;30223000000;27302000000;2610000000;1557000000;-298000000;321000000;1557000000;1.5;UNH
2012-12-31;31286000000;47586000000;31178000000;28769000000;2101000000;1244000000;1682000000;284000000;1244000000;1.2;UNH
2013-03-31;31810000000;49181000000;31757000000;30340000000;2139000000;1192000000;1053000000;323000000;1240000000;1.16;UNH
2013-06-30;31427000000;48051000000;31381000000;30408000000;2401000000;1436000000;1474000000;156000000;1436000000;1.4;UNH
2013-09-30;31751000000;48717000000;32016000000;30624000000;2631000000;1570000000;3396000000;361000000;1570000000;1.53;UNH
2013-12-31;31604000000;48558000000;32149000000;31117000000;2452000000;1427000000;1068000000;321000000;1427000000;1.41;UNH
2014-03-31;32150000000;50805000000;32549000000;31708000000;2054000000;1099000000;1408000000;353000000;1099000000;1.1;UNH
2014-06-30;32462000000;51228000000;32935000000;32574000000;2552000000;1408000000;1014000000;363000000;1408000000;1.42;UNH
2014-09-30;32357000000;51436000000;32604000000;32759000000;2903000000;1602000000;3200000000;405000000;1602000000;1.63;UNH
2014-12-31;32940000000;52540000000;32454000000;33433000000;2765000000;1510000000;2429000000;326000000;1510000000;1.55;UNH
