fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
2010-12-31;934000000;1940000000;3344000000;3612000000;0;110000000;254000000;124000000;110000000;;ZTS
2011-03-31;None;None;None;983000000;150000000;76000000;63000000;34000000;77000000;;ZTS
2011-06-30;None;None;None;1074000000;137000000;66000000;139000000;23000000;66000000;;ZTS
2011-09-30;None;None;None;1049000000;221000000;94000000;181000000;24000000;95000000;;ZTS
2011-12-31;989000000;1975000000;3720000000;1127000000;145000000;9000000;114000000;54000000;10000000;;ZTS
2012-03-31;990000000;1956000000;3934000000;1047000000;198000000;111000000;-4000000;31000000;112000000;;ZTS
2012-06-30;980000000;1869000000;3915000000;1094000000;271000000;173000000;74000000;24000000;173000000;;ZTS
2012-09-30;981000000;1795000000;4094000000;1019000000;220000000;162000000;74000000;26000000;161000000;;ZTS
2012-12-31;985000000;2221000000;4026000000;1176000000;162000000;-10000000;310000000;45000000;-10000000;0.11;ZTS
2013-03-31;985000000;5418000000;709000000;1090000000;250000000;140000000;281000000;22000000;140000000;0.36;ZTS
2013-06-30;982000000;5438000000;800000000;1114000000;199000000;128000000;-12000000;58000000;128000000;0.36;ZTS
2013-09-30;980000000;5393000000;843000000;1103000000;288000000;131000000;114000000;55000000;131000000;0.34;ZTS
2013-12-31;982000000;5596000000;940000000;1254000000;199000000;105000000;298000000;49000000;104000000;0.36;ZTS
2014-03-31;982000000;5304000000;1077000000;1097000000;291000000;155000000;-23000000;45000000;155000000;0.38;ZTS
2014-06-30;984000000;5239000000;1260000000;1158000000;317000000;136000000;159000000;57000000;139000000;0.38;ZTS
2014-09-30;982000000;5138000000;1364000000;1210000000;339000000;166000000;103000000;42000000;167000000;0.41;ZTS
2014-12-31;976000000;5251000000;1311000000;1320000000;20000000;126000000;387000000;51000000;126000000;0.4;ZTS
2015-03-31;1169000000;5125000000;1278000000;1102000000;259000000;165000000;60000000;45000000;165000000;0.41;ZTS
2015-06-30;1167000000;5396000000;1176000000;1175000000;359000000;-37000000;122000000;46000000;-36000000;0.43;ZTS
2015-09-30;1163000000;5432000000;1229000000;1214000000;382000000;189000000;204000000;52000000;190000000;0.5;ZTS
2015-12-31;1455000000;6822000000;1068000000;1274000000;146000000;22000000;278000000;81000000;20000000;0.43;ZTS
2016-03-31;1459000000;6266000000;1165000000;1162000000;377000000;204000000;51000000;45000000;204000000;0.48;ZTS
2016-06-30;1475000000;6147000000;1357000000;1208000000;352000000;224000000;137000000;54000000;224000000;0.49;ZTS
2016-09-30;1497000000;6117000000;1585000000;1241000000;413000000;239000000;239000000;57000000;237000000;0.52;ZTS
2016-12-31;1481000000;6150000000;1487000000;1277000000;314000000;154000000;286000000;60000000;154000000;0.47;ZTS
2017-03-31;1497000000;6014000000;1609000000;1231000000;378000000;238000000;119000000;42000000;239000000;0.53;ZTS
2017-06-30;1495000000;6056000000;1715000000;1269000000;386000000;247000000;180000000;51000000;247000000;0.53;ZTS
2017-09-30;1530000000;7269000000;1989000000;1347000000;456000000;298000000;439000000;48000000;296000000;0.65;ZTS
2017-12-31;1510000000;6800000000;1770000000;1460000000;520000000;81000000;608000000;83000000;80000000;0.69;ZTS
2018-03-31;1532000000;6715000000;1960000000;1366000000;501000000;352000000;389000000;53000000;350000000;0.75;ZTS
2018-06-30;1514000000;6621000000;1970000000;1415000000;484000000;384000000;267000000;73000000;382000000;0.77;ZTS
2018-09-30;2537000000;8341000000;2118000000;1480000000;474000000;347000000;550000000;74000000;347000000;0.83;ZTS
2018-12-31;2519000000;8592000000;2185000000;1564000000;542000000;345000000;584000000;138000000;345000000;0.79;ZTS
2019-03-31;2522000000;8566000000;2317000000;1455000000;441000000;312000000;389000000;63000000;312000000;0.88;ZTS
2019-06-30;2505000000;8575000000;2411000000;1547000000;514000000;371000000;318000000;103000000;371000000;0.9;ZTS
2019-09-30;2550000000;8594000000;2678000000;1584000000;589000000;433000000;506000000;128000000;433000000;0.94;ZTS
2019-12-31;2592000000;8837000000;2708000000;1674000000;499000000;384000000;582000000;166000000;384000000;0.92;ZTS
2020-03-31;2583000000;8775000000;2753000000;1534000000;556000000;423000000;408000000;94000000;423000000;0.95;ZTS
2020-06-30;2629000000;10082000000;2982000000;1548000000;544000000;377000000;438000000;90000000;376000000;0.89;ZTS
2020-09-30;2690000000;10118000000;3602000000;1786000000;663000000;479000000;562000000;125000000;479000000;1.1;ZTS
2020-12-31;2694000000;9836000000;3769000000;1807000000;482000000;359000000;718000000;144000000;358000000;0.91;ZTS
2021-03-31;2707000000;9704000000;4089000000;1871000000;747000000;559000000;400000000;77000000;558000000;1.26;ZTS
2021-06-30;2718000000;9717000000;4350000000;1948000000;696000000;512000000;481000000;113000000;511000000;1.19;ZTS
2021-09-30;2703000000;9024000000;4679000000;1990000000;718000000;552000000;653000000;119000000;552000000;1.25;ZTS
2021-12-31;2682000000;9356000000;4543000000;1967000000;563000000;414000000;679000000;168000000;413000000;1;ZTS
2022-03-31;2685000000;9202000000;4658000000;1986000000;783000000;595000000;309000000;115000000;594000000;1.32;ZTS
2022-06-30;2720000000;9190000000;4580000000;2052000000;727000000;529000000;336000000;146000000;529000000;1.2;ZTS
2022-09-30;2692000000;9012000000;4663000000;2002000000;724000000;529000000;526000000;154000000;528000000;1.21;ZTS
