Date,Close,High,Low,Open,Volume,Symbol
2004-08-19,2.48,2.57,2.37,2.47,897427216,GOOG
2004-08-20,2.68,2.7,2.48,2.5,458857488,GOOG
2004-08-23,2.7,2.81,2.7,2.74,366857939,GOOG
2004-08-24,2.59,2.76,2.56,2.75,306396159,GOOG
2004-08-25,2.62,2.67,2.57,2.59,184645512,GOOG
2004-08-26,2.67,2.67,2.59,2.59,142572401,GOOG
2004-08-27,2.62,2.69,2.61,2.67,124826132,GOOG
2004-08-30,2.52,2.61,2.52,2.6,104429967,GOOG
2004-08-31,2.53,2.56,2.53,2.53,98825037,GOOG
2004-09-01,2.48,2.55,2.46,2.54,183633734,GOOG
2004-09-02,2.51,2.53,2.45,2.45,303810504,GOOG
2004-09-03,2.47,2.52,2.46,2.5,103538639,GOOG
2004-09-07,2.51,2.52,2.46,2.5,117506800,GOOG
2004-09-08,2.53,2.55,2.48,2.49,100186120,GOOG
2004-09-09,2.53,2.54,2.5,2.53,81620792,GOOG
2004-09-10,2.6,2.63,2.5,2.51,174804764,GOOG
2004-09-13,2.66,2.68,2.63,2.64,157628624,GOOG
2004-09-14,2.76,2.77,2.64,2.66,217608605,GOOG
2004-09-15,2.77,2.82,2.72,2.73,215279909,GOOG
2004-09-16,2.82,2.86,2.76,2.78,186207345,GOOG
2004-09-17,2.9,2.9,2.81,2.83,190350817,GOOG
2004-09-20,2.95,3.01,2.89,2.89,213585582,GOOG
2004-09-21,2.91,2.98,2.9,2.96,145262446,GOOG
2004-09-22,2.93,2.96,2.89,2.9,152344894,GOOG
2004-09-23,2.99,3.03,2.89,2.94,171524515,GOOG
2004-09-24,2.96,3.07,2.96,2.99,183336625,GOOG
2004-09-27,2.92,2.99,2.91,2.96,141994242,GOOG
2004-09-28,3.14,3.15,2.97,3.0,340190355,GOOG
2004-09-29,3.24,3.34,3.12,3.13,613229953,GOOG
2004-09-30,3.2,3.27,3.19,3.21,276468402,GOOG
2004-10-01,3.28,3.32,3.19,3.23,303934969,GOOG
2004-10-04,3.34,3.38,3.31,3.34,261693228,GOOG
2004-10-05,3.42,3.42,3.27,3.33,300887589,GOOG
2004-10-06,3.39,3.42,3.36,3.4,268900140,GOOG
2004-10-07,3.43,3.46,3.38,3.38,283643194,GOOG
2004-10-08,3.4,3.45,3.39,3.43,222442656,GOOG
2004-10-11,3.34,3.43,3.31,3.39,210437827,GOOG
2004-10-12,3.4,3.4,3.3,3.32,234419380,GOOG
2004-10-13,3.48,3.55,3.46,3.54,397203256,GOOG
2004-10-14,3.51,3.52,3.43,3.49,209835578,GOOG
2004-10-15,3.56,3.6,3.51,3.58,265150137,GOOG
2004-10-18,3.69,3.69,3.49,3.54,282061287,GOOG
2004-10-19,3.66,3.77,3.64,3.72,363918964,GOOG
2004-10-20,3.47,3.68,3.45,3.66,456613107,GOOG
2004-10-21,3.69,3.71,3.5,3.57,585767401,GOOG
2004-10-22,4.26,4.45,4.06,4.22,1481207196,GOOG
2004-10-25,4.63,4.81,4.27,4.36,1315480331,GOOG
2004-10-26,4.49,4.76,4.45,4.61,895628499,GOOG
2004-10-27,4.6,4.69,4.49,4.52,536262538,GOOG
2004-10-28,4.78,4.81,4.59,4.61,596097978,GOOG
2004-10-29,4.71,4.94,4.71,4.92,849672890,GOOG
2004-11-01,4.85,4.89,4.73,4.78,490828877,GOOG
2004-11-02,4.82,4.93,4.78,4.91,455553149,GOOG
2004-11-03,4.74,4.98,4.72,4.9,557630330,GOOG
2004-11-04,4.57,4.71,4.53,4.66,578544429,GOOG
2004-11-05,4.19,4.51,4.17,4.5,796297573,GOOG
2004-11-08,4.27,4.34,4.19,4.23,449349985,GOOG
2004-11-09,4.17,4.33,4.09,4.3,444226854,GOOG
2004-11-10,4.15,4.26,4.11,4.22,427355853,GOOG
2004-11-11,4.52,4.54,4.14,4.18,601666773,GOOG
2004-11-12,4.5,4.69,4.39,4.58,672354740,GOOG
2004-11-15,4.57,4.66,4.42,4.46,477844390,GOOG
2004-11-16,4.27,4.44,4.22,4.39,839832142,GOOG
2004-11-17,4.26,4.39,4.18,4.18,728034662,GOOG
2004-11-18,4.14,4.31,4.1,4.21,667677273,GOOG
2004-11-19,4.19,4.2,4.12,4.18,352086780,GOOG
2004-11-22,4.08,4.19,3.99,4.07,496582362,GOOG
2004-11-23,4.14,4.22,4.12,4.15,498393124,GOOG
2004-11-24,4.32,4.38,4.26,4.32,613531078,GOOG
2004-11-26,4.43,4.45,4.33,4.35,260175560,GOOG
2004-11-29,4.48,4.52,4.39,4.46,428263241,GOOG
2004-11-30,4.5,4.52,4.46,4.47,309154460,GOOG
2004-12-01,4.45,4.51,4.44,4.5,315743063,GOOG
2004-12-02,4.43,4.49,4.41,4.45,251374696,GOOG
2004-12-03,4.46,4.48,4.39,4.45,235647968,GOOG
2004-12-06,4.36,4.47,4.35,4.43,251097661,GOOG
2004-12-07,4.24,4.36,4.22,4.35,275866153,GOOG
2004-12-08,4.2,4.29,4.17,4.21,302802741,GOOG
2004-12-09,4.29,4.29,4.16,4.21,307307563,GOOG
2004-12-10,4.24,4.32,4.23,4.29,173335277,GOOG
2004-12-13,4.21,4.28,4.19,4.26,193466452,GOOG
2004-12-14,4.42,4.42,4.19,4.23,445198482,GOOG
2004-12-15,4.44,4.47,4.37,4.4,460559845,GOOG
2004-12-16,4.36,4.46,4.35,4.37,344197318,GOOG
2004-12-17,4.45,4.46,4.36,4.37,296555412,GOOG
2004-12-20,4.57,4.66,4.5,4.5,394854485,GOOG
2004-12-21,4.54,4.64,4.53,4.61,221479058,GOOG
2004-12-22,4.61,4.62,4.52,4.55,156865776,GOOG
2004-12-23,4.65,4.66,4.6,4.63,145125936,GOOG
2004-12-27,4.74,4.78,4.67,4.68,245079187,GOOG
2004-12-28,4.77,4.78,4.72,4.75,166453579,GOOG
2004-12-29,4.77,4.78,4.74,4.74,107525527,GOOG
2004-12-30,4.88,4.9,4.74,4.77,237057231,GOOG
2004-12-31,4.77,4.94,4.76,4.93,307889737,GOOG
2005-01-03,5.01,5.03,4.83,4.88,636143518,GOOG
2005-01-04,4.81,5.02,4.78,4.98,552298420,GOOG
2005-01-05,4.78,4.87,4.75,4.78,330698912,GOOG
2005-01-06,4.66,4.84,4.64,4.82,417041336,GOOG
2005-01-07,4.79,4.8,4.67,4.71,387964757,GOOG
2005-01-10,4.82,4.9,4.74,4.81,302714411,GOOG
2005-01-11,4.78,4.89,4.78,4.84,279391317,GOOG
2005-01-12,4.83,4.84,4.71,4.8,328338096,GOOG
2005-01-13,4.83,4.88,4.8,4.83,275002929,GOOG
2005-01-14,4.94,4.94,4.8,4.85,387057368,GOOG
2005-01-18,5.04,5.07,4.91,4.97,528878966,GOOG
2005-01-19,4.88,5.08,4.86,5.06,451995865,GOOG
2005-01-20,4.79,4.85,4.75,4.76,361413608,GOOG
2005-01-21,4.65,4.83,4.65,4.81,371724110,GOOG
2005-01-24,4.47,4.68,4.46,4.66,563010421,GOOG
2005-01-25,4.38,4.51,4.36,4.5,427966132,GOOG
2005-01-26,4.68,4.68,4.43,4.43,494161321,GOOG
2005-01-27,4.65,4.67,4.58,4.67,266089645,GOOG
