Date,Close,High,Low,Open,Volume,Symbol
2004-08-16,2.68,2.7,2.37,2.47,1356284704,GOOG
2004-08-23,2.62,2.81,2.56,2.74,1125298143,GOOG
2004-08-30,2.47,2.61,2.45,2.6,794237881,GOOG
2004-09-06,2.6,2.63,2.46,2.5,474118476,GOOG
2004-09-13,2.9,2.9,2.63,2.64,967075300,GOOG
2004-09-20,2.96,3.07,2.89,2.89,866054062,GOOG
2004-09-27,3.28,3.34,2.91,2.96,1675817921,GOOG
2004-10-04,3.4,3.46,3.27,3.34,1337566807,GOOG
2004-10-11,3.56,3.6,3.3,3.39,1317046178,GOOG
2004-10-18,4.26,4.45,3.45,3.54,3169567955,GOOG
2004-10-25,4.71,4.94,4.27,4.36,4193142236,GOOG
2004-11-01,4.19,4.98,4.17,4.78,2878854358,GOOG
2004-11-08,4.5,4.69,4.09,4.23,2594954205,GOOG
2004-11-15,4.19,4.66,4.1,4.46,3065475247,GOOG
2004-11-22,4.43,4.45,3.99,4.07,1868682124,GOOG
2004-11-29,4.46,4.52,4.39,4.46,1540183428,GOOG
2004-12-06,4.24,4.47,4.16,4.43,1310409395,GOOG
2004-12-13,4.45,4.47,4.19,4.26,1739977509,GOOG
2004-12-20,4.65,4.66,4.5,4.5,918325255,GOOG
2004-12-27,4.77,4.94,4.67,4.68,1064005261,GOOG
2005-01-03,4.79,5.03,4.64,4.88,2324146943,GOOG
2005-01-10,4.94,4.94,4.71,4.81,1572504121,GOOG
2005-01-17,4.65,5.08,4.65,4.97,1714012549,GOOG
2005-01-24,4.71,4.81,4.36,4.66,2241385892,GOOG
2005-01-31,5.05,5.36,4.71,4.79,3575046111,GOOG
2005-02-07,4.63,5.1,4.58,5.07,2959475417,GOOG
2005-02-14,4.89,4.94,4.47,4.52,4006063638,GOOG
2005-02-21,4.59,4.92,4.5,4.86,2604024073,GOOG
2005-02-28,4.6,4.69,4.5,4.6,1557728948,GOOG
2005-03-07,4.4,4.69,4.38,4.64,1889564103,GOOG
2005-03-14,4.45,4.46,4.27,4.41,1767624750,GOOG
2005-03-21,4.43,4.5,4.38,4.43,869872320,GOOG
2005-03-28,4.45,4.57,4.39,4.49,1381065241,GOOG
2005-04-04,4.75,4.82,4.45,4.45,1480508587,GOOG
2005-04-11,4.57,4.82,4.57,4.77,1486189801,GOOG
2005-04-18,5.34,5.54,4.54,4.56,3267754608,GOOG
2005-04-25,5.44,5.56,5.36,5.38,2618971893,GOOG
2005-05-02,5.64,5.68,5.44,5.49,2164265907,GOOG
2005-05-09,5.67,5.74,5.56,5.64,1594959977,GOOG
2005-05-16,5.97,5.97,5.65,5.68,1753841279,GOOG
2005-05-23,6.58,6.58,6.0,6.01,3782926388,GOOG
2005-05-30,6.93,7.24,6.66,6.66,3781517125,GOOG
2005-06-06,6.98,7.41,6.87,6.98,4082745988,GOOG
2005-06-13,6.93,7.03,6.61,6.92,2676996570,GOOG
2005-06-20,7.35,7.37,6.72,6.83,3150107284,GOOG
2005-06-27,7.2,7.65,7.15,7.39,3190317439,GOOG
2005-07-04,7.32,7.36,7.13,7.22,1350001241,GOOG
2005-07-11,7.45,7.58,7.19,7.33,1798684735,GOOG
2005-07-18,7.48,7.86,7.33,7.42,3064074014,GOOG
2005-07-25,7.11,7.5,7.09,7.48,1645444498,GOOG
2005-08-01,7.23,7.41,7.12,7.12,1206882801,GOOG
2005-08-08,7.16,7.31,6.94,7.26,1254319942,GOOG
2005-08-15,6.92,7.24,6.8,7.16,1468800867,GOOG
2005-08-22,7.01,7.05,6.76,6.95,1178789894,GOOG
2005-08-29,7.13,7.17,6.98,6.98,879508304,GOOG
2005-09-05,7.39,7.4,7.05,7.14,912029746,GOOG
2005-09-12,7.42,7.8,7.36,7.46,2208575370,GOOG
2005-09-19,7.8,7.89,7.43,7.44,1875917142,GOOG
2005-09-26,7.82,7.93,7.55,7.9,1587126727,GOOG
2005-10-03,7.74,7.94,7.61,7.75,1662090660,GOOG
2005-10-10,7.32,7.78,7.19,7.75,1706685186,GOOG
2005-10-17,8.4,8.56,7.28,7.35,2347136792,GOOG
2005-10-24,8.85,8.87,8.46,8.49,1455651766,GOOG
2005-10-31,9.65,9.69,8.89,8.91,2310134617,GOOG
2005-11-07,9.65,9.83,9.33,9.77,1772559176,GOOG
2005-11-14,9.89,10.0,9.66,9.69,1660833967,GOOG
2005-11-21,10.6,10.6,9.73,9.87,1399473984,GOOG
2005-11-28,10.33,10.66,9.78,10.63,2625371790,GOOG
2005-12-05,10.12,10.32,9.86,10.31,2153401337,GOOG
2005-12-12,10.63,10.69,10.13,10.25,1771438994,GOOG
2005-12-19,10.65,11.03,10.39,10.68,2223707877,GOOG
2005-12-26,10.26,10.68,10.23,10.68,1138395051,GOOG
2006-01-02,11.51,11.63,10.34,10.45,2287453921,GOOG
2006-01-09,11.53,11.75,11.4,11.53,1954430329,GOOG
2006-01-16,9.88,11.62,9.76,11.45,3389055576,GOOG
2006-01-23,10.72,11.23,10.03,10.07,3144707119,GOOG
2006-01-30,9.43,10.87,9.21,10.61,3527849868,GOOG
2006-02-06,8.96,9.64,8.73,9.53,2951445432,GOOG
2006-02-13,9.12,9.2,8.35,8.57,3330617353,GOOG
2006-02-20,9.33,9.42,9.0,9.06,1373051315,GOOG
2006-02-27,9.35,9.83,8.37,9.43,3693926039,GOOG
2006-03-06,8.34,9.48,8.2,9.42,2581644504,GOOG
2006-03-13,8.4,8.71,8.22,8.43,2546722094,GOOG
2006-03-20,9.04,9.15,8.34,8.46,2025563960,GOOG
2006-03-27,9.64,9.86,9.02,9.07,3462132464,GOOG
2006-04-03,10.04,10.25,9.59,9.63,2122859285,GOOG
2006-04-10,9.94,10.36,9.9,10.06,1324835264,GOOG
