Date,Close,High,Low,Open,Volume,Symbol
1962-01-01,0.06,0.06,0.06,0.06,691200,JNJ
1962-01-08,0.06,0.06,0.06,0.06,820800,JNJ
1962-01-15,0.06,0.06,0.06,0.06,1036800,JNJ
1962-01-22,0.06,0.06,0.06,0.06,1425600,JNJ
1962-01-29,0.06,0.06,0.06,0.06,3844800,JNJ
1962-02-05,0.07,0.07,0.06,0.06,9763200,JNJ
1962-02-12,0.06,0.07,0.06,0.07,2505600,JNJ
1962-02-19,0.06,0.06,0.06,0.06,1166400,JNJ
1962-02-26,0.06,0.06,0.06,0.06,1641600,JNJ
1962-03-05,0.06,0.06,0.06,0.06,993600,JNJ
1962-03-12,0.06,0.07,0.06,0.06,2203200,JNJ
1962-03-19,0.06,0.06,0.06,0.06,950400,JNJ
1962-03-26,0.06,0.06,0.06,0.06,864000,JNJ
1962-04-02,0.06,0.06,0.06,0.06,604800,JNJ
1962-04-09,0.06,0.06,0.06,0.06,1209600,JNJ
1962-04-16,0.06,0.06,0.06,0.06,259200,JNJ
1962-04-23,0.06,0.06,0.06,0.06,1080000,JNJ
1962-04-30,0.06,0.06,0.05,0.06,1857600,JNJ
1962-05-07,0.06,0.06,0.06,0.06,950400,JNJ
1962-05-14,0.06,0.06,0.05,0.06,1339200,JNJ
1962-05-21,0.05,0.06,0.05,0.06,3801600,JNJ
1962-05-28,0.05,0.05,0.04,0.05,4320000,JNJ
1962-06-04,0.05,0.05,0.05,0.05,2073600,JNJ
1962-06-11,0.05,0.05,0.04,0.05,3974400,JNJ
1962-06-18,0.04,0.05,0.04,0.05,2851200,JNJ
1962-06-25,0.05,0.05,0.04,0.04,4363200,JNJ
1962-07-02,0.05,0.05,0.05,0.05,8553600,JNJ
1962-07-09,0.05,0.05,0.05,0.05,2851200,JNJ
1962-07-16,0.05,0.05,0.05,0.05,864000,JNJ
1962-07-23,0.05,0.05,0.04,0.05,1771200,JNJ
1962-07-30,0.05,0.05,0.05,0.05,1598400,JNJ
1962-08-06,0.05,0.05,0.04,0.04,2419200,JNJ
1962-08-13,0.05,0.05,0.05,0.05,648000,JNJ
1962-08-20,0.05,0.05,0.05,0.05,1036800,JNJ
1962-08-27,0.04,0.05,0.04,0.05,1080000,JNJ
1962-09-03,0.04,0.05,0.04,0.04,1123200,JNJ
1962-09-10,0.04,0.05,0.04,0.04,1598400,JNJ
1962-09-17,0.05,0.05,0.04,0.04,1598400,JNJ
1962-09-24,0.04,0.04,0.04,0.04,1036800,JNJ
1962-10-01,0.04,0.04,0.04,0.04,734400,JNJ
1962-10-08,0.04,0.04,0.04,0.04,864000,JNJ
1962-10-15,0.04,0.04,0.04,0.04,1598400,JNJ
1962-10-22,0.04,0.04,0.04,0.04,1512000,JNJ
1962-10-29,0.04,0.04,0.04,0.04,1728000,JNJ
1962-11-05,0.04,0.04,0.04,0.04,1339200,JNJ
1962-11-12,0.04,0.05,0.04,0.04,3067200,JNJ
1962-11-19,0.04,0.04,0.04,0.04,1166400,JNJ
1962-11-26,0.05,0.05,0.04,0.04,4276800,JNJ
1962-12-03,0.05,0.05,0.05,0.05,1900800,JNJ
1962-12-10,0.05,0.05,0.05,0.05,2116800,JNJ
1962-12-17,0.05,0.05,0.05,0.05,2246400,JNJ
1962-12-24,0.05,0.05,0.05,0.05,1512000,JNJ
