Date,Close,High,Low,Open,Volume,Symbol
1980-12-02,0.12,0.13,0.12,0.12,100710400,NKE
1980-12-03,0.12,0.12,0.12,0.12,25177600,NKE
1980-12-04,0.12,0.13,0.12,0.12,22694400,NKE
1980-12-05,0.12,0.12,0.12,0.12,7590400,NKE
1980-12-08,0.11,0.11,0.11,0.11,5414400,NKE
1980-12-09,0.11,0.11,0.11,0.11,5824000,NKE
1980-12-10,0.1,0.11,0.1,0.11,5875200,NKE
1980-12-11,0.1,0.1,0.1,0.1,5440000,NKE
1980-12-12,0.1,0.1,0.1,0.1,8153600,NKE
1980-12-15,0.1,0.11,0.1,0.1,6643200,NKE
1980-12-16,0.1,0.1,0.1,0.1,6630400,NKE
1980-12-17,0.1,0.1,0.1,0.1,4672000,NKE
1980-12-18,0.1,0.1,0.1,0.1,11251200,NKE
1980-12-19,0.1,0.11,0.1,0.1,10035200,NKE
1980-12-22,0.1,0.11,0.1,0.1,1856000,NKE
1980-12-23,0.11,0.11,0.11,0.11,5696000,NKE
1980-12-24,0.11,0.11,0.11,0.11,2444800,NKE
1980-12-26,0.11,0.12,0.11,0.11,1459200,NKE
1980-12-29,0.11,0.11,0.11,0.11,1740800,NKE
1980-12-30,0.11,0.12,0.11,0.11,4364800,NKE
1980-12-31,0.11,0.12,0.11,0.11,2918400,NKE
1981-01-02,0.12,0.12,0.12,0.12,1574400,NKE
1981-01-05,0.12,0.12,0.12,0.12,5824000,NKE
1981-01-06,0.12,0.12,0.12,0.12,6950400,NKE
1981-01-07,0.11,0.12,0.11,0.12,8806400,NKE
1981-01-08,0.11,0.11,0.11,0.11,3302400,NKE
1981-01-09,0.11,0.11,0.11,0.11,2470400,NKE
1981-01-12,0.11,0.11,0.11,0.11,3353600,NKE
1981-01-13,0.11,0.12,0.11,0.11,4467200,NKE
1981-01-14,0.12,0.12,0.12,0.12,7923200,NKE
1981-01-15,0.12,0.12,0.12,0.12,2521600,NKE
