Date,Close,High,Low,Open,Volume,Symbol
1980-12-01,0.12,0.13,0.12,0.12,156172800,NKE
1980-12-08,0.1,0.11,0.1,0.11,30707200,NKE
1980-12-15,0.1,0.11,0.1,0.1,39232000,NKE
1980-12-22,0.11,0.12,0.1,0.1,11456000,NKE
1980-12-29,0.12,0.12,0.11,0.11,10598400,NKE
1981-01-05,0.11,0.12,0.11,0.12,27353600,NKE
1981-01-12,0.12,0.12,0.11,0.11,21593600,NKE
1981-01-19,0.11,0.12,0.11,0.12,11225600,NKE
1981-01-26,0.1,0.11,0.1,0.11,6502400,NKE
1981-02-02,0.1,0.11,0.1,0.1,10355200,NKE
1981-02-09,0.1,0.1,0.1,0.1,5708800,NKE
1981-02-16,0.1,0.1,0.1,0.1,6425600,NKE
1981-02-23,0.1,0.11,0.1,0.1,4684800,NKE
1981-03-02,0.1,0.11,0.1,0.1,9536000,NKE
1981-03-09,0.1,0.1,0.09,0.1,8870400,NKE
1981-03-16,0.09,0.1,0.09,0.1,9062400,NKE
1981-03-23,0.1,0.1,0.09,0.09,11968000,NKE
1981-03-30,0.11,0.11,0.1,0.1,16422400,NKE
1981-04-06,0.12,0.12,0.11,0.11,16320000,NKE
1981-04-13,0.12,0.12,0.11,0.12,25177600,NKE
1981-04-20,0.11,0.12,0.11,0.12,23283200,NKE
1981-04-27,0.11,0.12,0.11,0.11,6425600,NKE
1981-05-04,0.11,0.11,0.11,0.11,6131200,NKE
1981-05-11,0.11,0.12,0.11,0.11,6400000,NKE
1981-05-18,0.11,0.11,0.11,0.11,8409600,NKE
1981-05-25,0.12,0.13,0.11,0.11,21555200,NKE
1981-06-01,0.13,0.13,0.13,0.13,25830400,NKE
1981-06-08,0.13,0.13,0.13,0.13,18137600,NKE
1981-06-15,0.12,0.13,0.12,0.13,34137600,NKE
1981-06-22,0.13,0.13,0.12,0.12,15244800,NKE
1981-06-29,0.13,0.13,0.12,0.13,4979200,NKE
1981-07-06,0.11,0.13,0.11,0.13,5644800,NKE
1981-07-13,0.12,0.12,0.12,0.12,3916800,NKE
1981-07-20,0.12,0.12,0.11,0.12,10009600,NKE
1981-07-27,0.12,0.12,0.12,0.12,7104000,NKE
1981-08-03,0.1,0.12,0.1,0.12,7001600,NKE
1981-08-10,0.11,0.12,0.1,0.1,5299200,NKE
1981-08-17,0.11,0.11,0.1,0.11,5964800,NKE
1981-08-24,0.1,0.11,0.1,0.11,6412800,NKE
1981-08-31,0.1,0.1,0.1,0.1,5606400,NKE
1981-09-07,0.11,0.11,0.1,0.1,3993600,NKE
1981-09-14,0.11,0.12,0.11,0.11,7244800,NKE
1981-09-21,0.1,0.11,0.1,0.11,7705600,NKE
1981-09-28,0.1,0.11,0.1,0.1,6630400,NKE
1981-10-05,0.1,0.11,0.1,0.11,5491200,NKE
1981-10-12,0.12,0.12,0.11,0.11,34662400,NKE
1981-10-19,0.13,0.13,0.13,0.13,50470400,NKE
