Date,Close,High,Low,Open,Volume,Symbol
1999-01-18,0.04,0.04,0.04,0.04,2714688000,NVDA
1999-01-25,0.04,0.04,0.04,0.04,1569600000,NVDA
1999-02-01,0.04,0.04,0.03,0.04,812688000,NVDA
1999-02-08,0.04,0.04,0.03,0.04,631248000,NVDA
1999-02-15,0.04,0.04,0.04,0.04,424800000,NVDA
1999-02-22,0.04,0.05,0.04,0.04,1277856000,NVDA
1999-03-01,0.04,0.04,0.04,0.04,344928000,NVDA
1999-03-08,0.04,0.04,0.04,0.04,599472000,NVDA
1999-03-15,0.04,0.04,0.04,0.04,390960000,NVDA
1999-03-22,0.04,0.04,0.03,0.04,390096000,NVDA
1999-03-29,0.04,0.04,0.04,0.04,319488000,NVDA
1999-04-05,0.04,0.04,0.04,0.04,436368000,NVDA
1999-04-12,0.04,0.04,0.04,0.04,192528000,NVDA
1999-04-19,0.03,0.04,0.03,0.04,489696000,NVDA
1999-04-26,0.03,0.04,0.03,0.03,618000000,NVDA
1999-05-03,0.03,0.04,0.03,0.04,335088000,NVDA
1999-05-10,0.03,0.04,0.03,0.03,458304000,NVDA
1999-05-17,0.03,0.04,0.03,0.03,1120704000,NVDA
1999-05-24,0.03,0.03,0.03,0.03,568416000,NVDA
1999-05-31,0.03,0.03,0.03,0.03,349152000,NVDA
1999-06-07,0.03,0.04,0.03,0.03,470736000,NVDA
1999-06-14,0.03,0.03,0.03,0.03,399024000,NVDA
1999-06-21,0.03,0.03,0.03,0.03,676176000,NVDA
1999-06-28,0.04,0.04,0.03,0.03,784944000,NVDA
1999-07-05,0.04,0.04,0.04,0.04,658992000,NVDA
1999-07-12,0.04,0.04,0.04,0.04,918768000,NVDA
1999-07-19,0.04,0.04,0.04,0.04,627984000,NVDA
1999-07-26,0.04,0.04,0.04,0.04,1244448000,NVDA
1999-08-02,0.04,0.04,0.04,0.04,1083072000,NVDA
1999-08-09,0.04,0.04,0.04,0.04,765120000,NVDA
1999-08-16,0.05,0.05,0.04,0.04,3016944000,NVDA
1999-08-23,0.05,0.05,0.05,0.05,2084160000,NVDA
1999-08-30,0.05,0.05,0.05,0.05,2110800000,NVDA
1999-09-06,0.05,0.05,0.05,0.05,671376000,NVDA
1999-09-13,0.05,0.05,0.04,0.05,967296000,NVDA
1999-09-20,0.03,0.05,0.03,0.05,2406912000,NVDA
1999-09-27,0.04,0.04,0.03,0.04,2129520000,NVDA
1999-10-04,0.04,0.05,0.04,0.04,3050640000,NVDA
1999-10-11,0.04,0.05,0.04,0.05,1550880000,NVDA
1999-10-18,0.04,0.04,0.04,0.04,1541712000,NVDA
1999-10-25,0.04,0.04,0.04,0.04,1462512000,NVDA
1999-11-01,0.05,0.06,0.04,0.04,5508432000,NVDA
1999-11-08,0.06,0.06,0.05,0.05,1950624000,NVDA
1999-11-15,0.08,0.08,0.06,0.06,4273536000,NVDA
1999-11-22,0.07,0.08,0.07,0.08,1572048000,NVDA
1999-11-29,0.07,0.08,0.07,0.07,1489488000,NVDA
1999-12-06,0.07,0.08,0.07,0.07,879936000,NVDA
1999-12-13,0.07,0.07,0.07,0.07,1058352000,NVDA
1999-12-20,0.09,0.09,0.07,0.07,1322208000,NVDA
1999-12-27,0.09,0.09,0.08,0.09,780864000,NVDA
2000-01-03,0.08,0.09,0.08,0.09,981408000,NVDA
2000-01-10,0.08,0.09,0.08,0.08,1248288000,NVDA
2000-01-17,0.09,0.09,0.08,0.08,1150176000,NVDA
2000-01-24,0.07,0.09,0.07,0.09,1379184000,NVDA
2000-01-31,0.08,0.08,0.07,0.07,656352000,NVDA
2000-02-07,0.1,0.1,0.07,0.08,2669232000,NVDA
2000-02-14,0.13,0.13,0.09,0.1,3616800000,NVDA
2000-02-21,0.12,0.13,0.11,0.12,1576944000,NVDA
2000-02-28,0.11,0.12,0.11,0.12,1672224000,NVDA
2000-03-06,0.23,0.28,0.11,0.11,6167184000,NVDA
2000-03-13,0.19,0.29,0.18,0.2,6286560000,NVDA
2000-03-20,0.18,0.2,0.17,0.2,1673520000,NVDA
2000-03-27,0.16,0.18,0.13,0.18,2576592000,NVDA
2000-04-03,0.2,0.2,0.11,0.16,2206512000,NVDA
2000-04-10,0.13,0.21,0.13,0.2,1901520000,NVDA
2000-04-17,0.15,0.17,0.12,0.12,1203888000,NVDA
2000-04-24,0.17,0.18,0.14,0.15,1169808000,NVDA
2000-05-01,0.18,0.19,0.15,0.18,1094400000,NVDA
2000-05-08,0.15,0.18,0.15,0.17,1069776000,NVDA
2000-05-15,0.2,0.22,0.14,0.15,2970240000,NVDA
2000-05-22,0.2,0.23,0.18,0.19,2787984000,NVDA
2000-05-29,0.25,0.25,0.21,0.21,1784352000,NVDA
2000-06-05,0.24,0.27,0.23,0.25,2128128000,NVDA
2000-06-12,0.29,0.29,0.23,0.24,2429376000,NVDA
2000-06-19,0.28,0.34,0.28,0.29,3499056000,NVDA
2000-06-26,0.24,0.32,0.22,0.29,4203576000,NVDA
2000-07-03,0.22,0.25,0.2,0.24,1961112000,NVDA
