Date,Close,High,Low,Open,Volume,Symbol
2000-01-03,2.63,2.66,2.6,2.65,8797337,SAN.MC
2000-01-04,2.56,2.61,2.54,2.59,8811013,SAN.MC
2000-01-05,2.5,2.55,2.48,2.51,9333517,SAN.MC
2000-01-06,2.5,2.5,2.5,2.5,0,SAN.MC
2000-01-07,2.61,2.62,2.52,2.52,9603132,SAN.MC
2000-01-10,2.59,2.63,2.57,2.63,6747710,SAN.MC
2000-01-11,2.5,2.59,2.46,2.58,15293569,SAN.MC
2000-01-12,2.48,2.48,2.44,2.47,12052290,SAN.MC
2000-01-13,2.46,2.49,2.42,2.49,11043549,SAN.MC
2000-01-14,2.52,2.54,2.45,2.47,15745712,SAN.MC
2000-01-17,2.45,2.57,2.43,2.56,31619384,SAN.MC
2000-01-18,2.33,2.45,2.32,2.45,20093136,SAN.MC
2000-01-19,2.33,2.33,2.28,2.31,20666919,SAN.MC
2000-01-20,2.38,2.42,2.34,2.35,11769910,SAN.MC
2000-01-21,2.3,2.42,2.29,2.39,18255137,SAN.MC
2000-01-24,2.33,2.38,2.31,2.33,9894501,SAN.MC
2000-01-25,2.33,2.33,2.29,2.31,15844637,SAN.MC
2000-01-26,2.39,2.4,2.33,2.36,22642896,SAN.MC
2000-01-27,2.4,2.42,2.36,2.42,50176740,SAN.MC
2000-01-28,2.32,2.41,2.31,2.41,13102872,SAN.MC
2000-01-31,2.34,2.37,2.31,2.34,49721466,SAN.MC
2000-02-01,2.36,2.62,2.33,2.62,11642759,SAN.MC
2000-02-02,2.36,2.39,2.33,2.38,10673286,SAN.MC
2000-02-03,2.4,2.42,2.34,2.37,11396777,SAN.MC
2000-02-04,2.42,2.44,2.39,2.42,13899128,SAN.MC
2000-02-07,2.49,2.49,2.43,2.44,12468731,SAN.MC
2000-02-08,2.53,2.55,2.46,2.5,12234462,SAN.MC
2000-02-09,2.49,2.55,2.45,2.55,10918965,SAN.MC
2000-02-10,2.44,2.49,2.4,2.47,9146146,SAN.MC
2000-02-11,2.3,2.44,2.28,2.44,17391741,SAN.MC
2000-02-14,2.41,2.51,2.31,2.39,26742175,SAN.MC
2000-02-15,2.45,2.53,2.42,2.45,21321476,SAN.MC
2000-02-16,2.58,2.58,2.47,2.51,33672600,SAN.MC
2000-02-17,2.57,2.62,2.55,2.56,16808772,SAN.MC
2000-02-18,2.51,2.59,2.51,2.58,18340717,SAN.MC
2000-02-21,2.55,2.57,2.48,2.49,8925338,SAN.MC
2000-02-22,2.52,2.59,2.49,2.55,11592996,SAN.MC
2000-02-23,2.57,2.57,2.49,2.54,9405260,SAN.MC
2000-02-24,2.5,2.57,2.49,2.55,11082867,SAN.MC
2000-02-25,2.52,2.56,2.49,2.51,9944867,SAN.MC
2000-02-28,2.51,2.54,2.49,2.53,9537525,SAN.MC
2000-02-29,2.53,2.57,2.51,2.52,7498301,SAN.MC
2000-03-01,2.52,2.54,2.5,2.54,9141201,SAN.MC
2000-03-02,2.56,2.57,2.53,2.54,14128833,SAN.MC
2000-03-03,2.54,2.61,2.53,2.59,16796144,SAN.MC
2000-03-06,2.53,2.58,2.53,2.58,12355814,SAN.MC
2000-03-07,2.52,2.56,2.51,2.53,10034784,SAN.MC
2000-03-08,2.54,2.56,2.5,2.51,9208349,SAN.MC
2000-03-09,2.56,2.59,2.53,2.54,14804511,SAN.MC
2000-03-10,2.6,2.6,2.54,2.58,59945035,SAN.MC
2000-03-13,2.59,2.59,2.59,2.59,0,SAN.MC
2000-03-14,2.62,2.62,2.57,2.61,23476575,SAN.MC
2000-03-15,2.64,2.66,2.57,2.58,33445529,SAN.MC
2000-03-16,2.68,2.69,2.65,2.66,16516306,SAN.MC
2000-03-17,2.75,2.78,2.7,2.72,24520456,SAN.MC
2000-03-20,2.75,2.78,2.74,2.74,20072443,SAN.MC
2000-03-21,2.71,2.75,2.66,2.73,11023983,SAN.MC
2000-03-22,2.69,2.75,2.66,2.71,12947772,SAN.MC
2000-03-23,2.64,2.72,2.63,2.69,10456218,SAN.MC
2000-03-24,2.67,2.7,2.62,2.64,5547595,SAN.MC
2000-03-27,2.65,2.67,2.62,2.65,6323555,SAN.MC
2000-03-28,2.7,2.71,2.63,2.64,7847503,SAN.MC
2000-03-29,2.67,2.7,2.65,2.67,5076510,SAN.MC
2000-03-30,2.63,2.66,2.61,2.64,8482743,SAN.MC
2000-03-31,2.6,2.63,2.6,2.61,25821725,SAN.MC
2000-04-03,2.61,2.64,2.58,2.6,7839585,SAN.MC
2000-04-04,2.64,2.69,2.62,2.62,21091401,SAN.MC
2000-04-05,2.59,2.67,2.57,2.64,12807044,SAN.MC
2000-04-06,2.52,2.6,2.52,2.6,21512475,SAN.MC
2000-04-07,2.57,2.58,2.53,2.55,11061083,SAN.MC
2000-04-10,2.62,2.62,2.55,2.58,8624985,SAN.MC
2000-04-11,2.58,2.62,2.57,2.57,8956274,SAN.MC
2000-04-12,2.6,2.63,2.57,2.62,7841431,SAN.MC
2000-04-13,2.66,2.67,2.59,2.6,11700748,SAN.MC
2000-04-14,2.62,2.69,2.59,2.66,11107265,SAN.MC
2000-04-17,2.58,2.59,2.49,2.53,27652226,SAN.MC
2000-04-18,2.56,2.61,2.52,2.6,9282542,SAN.MC
2000-04-19,2.53,2.58,2.53,2.57,15705839,SAN.MC
2000-04-20,2.6,2.62,2.53,2.54,22860411,SAN.MC
2000-04-21,2.56,2.56,2.56,2.56,0,SAN.MC
2000-04-24,2.56,2.56,2.56,2.56,0,SAN.MC
