Date,Close,High,Low,Open,Volume,Symbol
1984-10-17,0.11,0.11,0.11,0.11,9868800,UNH
1984-10-18,0.11,0.12,0.11,0.11,5324800,UNH
1984-10-19,0.11,0.11,0.11,0.11,3043200,UNH
1984-10-22,0.11,0.11,0.11,0.11,2326400,UNH
1984-10-23,0.11,0.11,0.11,0.11,787200,UNH
1984-10-24,0.11,0.11,0.11,0.11,230400,UNH
1984-10-25,0.11,0.11,0.11,0.11,1587200,UNH
1984-10-26,0.11,0.11,0.11,0.11,758400,UNH
1984-10-29,0.11,0.11,0.11,0.11,614400,UNH
1984-10-30,0.11,0.11,0.11,0.11,192000,UNH
1984-10-31,0.11,0.11,0.11,0.11,297600,UNH
1984-11-01,0.11,0.11,0.11,0.11,352000,UNH
1984-11-02,0.11,0.11,0.11,0.11,1638400,UNH
1984-11-05,0.11,0.11,0.11,0.11,534400,UNH
1984-11-06,0.11,0.11,0.11,0.11,544000,UNH
1984-11-07,0.11,0.11,0.11,0.11,76800,UNH
1984-11-08,0.11,0.11,0.11,0.11,44800,UNH
1984-11-09,0.11,0.11,0.11,0.11,896000,UNH
1984-11-12,0.11,0.11,0.11,0.11,300800,UNH
1984-11-13,0.11,0.11,0.11,0.11,464000,UNH
1984-11-14,0.1,0.11,0.1,0.11,1523200,UNH
1984-11-15,0.1,0.11,0.1,0.1,156800,UNH
1984-11-16,0.1,0.11,0.1,0.1,579200,UNH
1984-11-19,0.1,0.11,0.1,0.1,358400,UNH
1984-11-20,0.09,0.1,0.09,0.1,179200,UNH
1984-11-21,0.09,0.1,0.09,0.09,905600,UNH
1984-11-23,0.09,0.1,0.09,0.09,25600,UNH
1984-11-26,0.1,0.1,0.1,0.1,166400,UNH
1984-11-27,0.1,0.1,0.1,0.1,147200,UNH
1984-11-28,0.1,0.1,0.1,0.1,492800,UNH
1984-11-29,0.1,0.1,0.1,0.1,262400,UNH
1984-11-30,0.1,0.1,0.1,0.1,556800,UNH
1984-12-03,0.1,0.1,0.1,0.1,380800,UNH
1984-12-04,0.09,0.1,0.09,0.1,217600,UNH
1984-12-05,0.09,0.1,0.09,0.09,102400,UNH
1984-12-06,0.09,0.1,0.09,0.09,630400,UNH
1984-12-07,0.09,0.09,0.09,0.09,86400,UNH
1984-12-10,0.09,0.09,0.09,0.09,2099200,UNH
1984-12-11,0.09,0.09,0.09,0.09,188800,UNH
