Date,Close,High,Low,Open,Volume,Symbol
1984-10-15,0.11,0.12,0.11,0.11,18236800,UNH
1984-10-22,0.11,0.11,0.11,0.11,5689600,UNH
1984-10-29,0.11,0.11,0.11,0.11,3094400,UNH
1984-11-05,0.11,0.11,0.11,0.11,2096000,UNH
1984-11-12,0.1,0.11,0.1,0.11,3024000,UNH
1984-11-19,0.09,0.11,0.09,0.1,1468800,UNH
1984-11-26,0.1,0.1,0.1,0.1,1625600,UNH
1984-12-03,0.09,0.1,0.09,0.1,1417600,UNH
1984-12-10,0.09,0.09,0.09,0.09,2873600,UNH
1984-12-17,0.09,0.09,0.09,0.09,1244800,UNH
1984-12-24,0.09,0.1,0.09,0.09,2467200,UNH
1984-12-31,0.09,0.1,0.09,0.09,1254400,UNH
1985-01-07,0.11,0.12,0.1,0.1,5497600,UNH
1985-01-14,0.12,0.13,0.12,0.12,1584000,UNH
1985-01-21,0.14,0.15,0.12,0.12,3296000,UNH
1985-01-28,0.15,0.16,0.14,0.14,4361600,UNH
1985-02-04,0.21,0.21,0.16,0.16,9948800,UNH
1985-02-11,0.2,0.21,0.2,0.21,3740800,UNH
1985-02-18,0.19,0.2,0.19,0.2,2348800,UNH
1985-02-25,0.21,0.22,0.19,0.19,4640000,UNH
1985-03-04,0.21,0.22,0.21,0.21,2044800,UNH
1985-03-11,0.19,0.21,0.19,0.21,5328000,UNH
1985-03-18,0.19,0.19,0.19,0.19,1702400,UNH
1985-03-25,0.18,0.19,0.18,0.19,972800,UNH
1985-04-01,0.15,0.18,0.15,0.18,3075200,UNH
1985-04-08,0.17,0.18,0.14,0.15,3929600,UNH
1985-04-15,0.18,0.18,0.17,0.17,3414400,UNH
1985-04-22,0.21,0.22,0.19,0.19,11347200,UNH
1985-04-29,0.21,0.22,0.21,0.21,3302400,UNH
1985-05-06,0.21,0.22,0.21,0.21,3353600,UNH
1985-05-13,0.21,0.22,0.21,0.21,1513600,UNH
1985-05-20,0.25,0.26,0.21,0.21,7564800,UNH
1985-05-27,0.25,0.25,0.24,0.25,1753600,UNH
1985-06-03,0.27,0.28,0.26,0.26,8380800,UNH
1985-06-10,0.28,0.29,0.27,0.27,4393600,UNH
1985-06-17,0.26,0.28,0.25,0.28,2812800,UNH
1985-06-24,0.27,0.28,0.25,0.26,1408000,UNH
1985-07-01,0.27,0.28,0.27,0.27,1411200,UNH
1985-07-08,0.27,0.27,0.25,0.27,2160000,UNH
1985-07-15,0.29,0.29,0.27,0.27,3510400,UNH
1985-07-22,0.28,0.29,0.28,0.29,2822400,UNH
1985-07-29,0.28,0.29,0.28,0.28,1772800,UNH
1985-08-05,0.24,0.28,0.24,0.28,2918400,UNH
1985-08-12,0.23,0.25,0.23,0.24,1523200,UNH
1985-08-19,0.25,0.26,0.22,0.23,4755200,UNH
1985-08-26,0.25,0.26,0.25,0.25,4121600,UNH
1985-09-02,0.24,0.25,0.23,0.25,3059200,UNH
1985-09-09,0.21,0.24,0.21,0.24,3990400,UNH
1985-09-16,0.22,0.23,0.21,0.21,5155200,UNH
1985-09-23,0.2,0.23,0.19,0.22,7088000,UNH
1985-09-30,0.22,0.22,0.19,0.2,8576000,UNH
1985-10-07,0.24,0.25,0.21,0.22,7065600,UNH
1985-10-14,0.25,0.26,0.24,0.24,9680000,UNH
1985-10-21,0.25,0.25,0.24,0.25,3552000,UNH
1985-10-28,0.24,0.25,0.23,0.25,2460800,UNH
1985-11-04,0.23,0.24,0.22,0.24,8601600,UNH
1985-11-11,0.24,0.24,0.23,0.23,3763200,UNH
1985-11-18,0.23,0.24,0.22,0.24,4336000,UNH
1985-11-25,0.24,0.24,0.22,0.23,2784000,UNH
1985-12-02,0.23,0.24,0.23,0.24,1318400,UNH
1985-12-09,0.23,0.23,0.22,0.23,2006400,UNH
1985-12-16,0.23,0.24,0.23,0.23,23718400,UNH
1985-12-23,0.24,0.24,0.23,0.23,3862400,UNH
1985-12-30,0.24,0.25,0.23,0.24,5664000,UNH
1986-01-06,0.25,0.26,0.23,0.24,7020800,UNH
1986-01-13,0.27,0.28,0.24,0.25,75920000,UNH
1986-01-20,0.27,0.28,0.27,0.27,26019200,UNH
1986-01-27,0.31,0.31,0.27,0.27,37984000,UNH
1986-02-03,0.33,0.34,0.3,0.31,44892800,UNH
1986-02-10,0.33,0.34,0.32,0.33,10476800,UNH
1986-02-17,0.31,0.33,0.31,0.33,10515200,UNH
1986-02-24,0.33,0.34,0.3,0.31,13564800,UNH
1986-03-03,0.33,0.34,0.32,0.33,8985600,UNH
1986-03-10,0.34,0.34,0.33,0.33,8985600,UNH
1986-03-17,0.37,0.37,0.33,0.34,7862400,UNH
1986-03-24,0.37,0.38,0.36,0.37,11977600,UNH
1986-03-31,0.38,0.38,0.36,0.37,10918400,UNH
1986-04-07,0.37,0.38,0.36,0.38,5228800,UNH
1986-04-14,0.37,0.37,0.36,0.37,10515200,UNH
1986-04-21,0.37,0.38,0.37,0.37,2688000,UNH
1986-04-28,0.33,0.37,0.32,0.37,5904000,UNH
1986-05-05,0.3,0.33,0.28,0.33,9574400,UNH
1986-05-12,0.32,0.32,0.3,0.3,9036800,UNH
1986-05-19,0.32,0.33,0.31,0.32,7027200,UNH
1986-05-26,0.34,0.35,0.31,0.32,10905600,UNH
1986-06-02,0.32,0.37,0.31,0.34,14480000,UNH
1986-06-09,0.33,0.33,0.29,0.31,12115200,UNH
1986-06-16,0.29,0.33,0.27,0.33,12476800,UNH
1986-06-23,0.31,0.31,0.28,0.29,8768000,UNH
1986-06-30,0.33,0.34,0.3,0.31,7676800,UNH
1986-07-07,0.31,0.34,0.31,0.33,7740800,UNH
1986-07-14,0.3,0.32,0.28,0.31,10643200,UNH
1986-07-21,0.29,0.31,0.28,0.3,5680000,UNH
1986-07-28,0.27,0.29,0.26,0.29,5222400,UNH
1986-08-04,0.24,0.26,0.22,0.26,11795200,UNH
1986-08-11,0.26,0.27,0.23,0.24,16844800,UNH
1986-08-18,0.25,0.27,0.24,0.27,11008000,UNH
1986-08-25,0.24,0.25,0.23,0.25,24496000,UNH
1986-09-01,0.24,0.25,0.23,0.24,8816000,UNH
1986-09-08,0.21,0.24,0.21,0.24,9443200,UNH
1986-09-15,0.23,0.23,0.21,0.21,13468800,UNH
1986-09-22,0.23,0.24,0.22,0.23,13292800,UNH
1986-09-29,0.22,0.23,0.21,0.23,13648000,UNH
1986-10-06,0.19,0.22,0.18,0.22,14112000,UNH
1986-10-13,0.2,0.21,0.19,0.19,4918400,UNH
1986-10-20,0.21,0.21,0.18,0.2,4982400,UNH
1986-10-27,0.21,0.21,0.2,0.21,18073600,UNH
1986-11-03,0.21,0.21,0.2,0.21,3907200,UNH
1986-11-10,0.21,0.21,0.2,0.21,7504000,UNH
1986-11-17,0.2,0.21,0.2,0.21,5628800,UNH
1986-11-24,0.2,0.21,0.2,0.2,4886400,UNH
1986-12-01,0.21,0.22,0.19,0.2,14009600,UNH
1986-12-08,0.22,0.23,0.21,0.21,14355200,UNH
1986-12-15,0.22,0.22,0.21,0.22,6204800,UNH
1986-12-22,0.22,0.22,0.21,0.22,7468800,UNH
1986-12-29,0.21,0.22,0.2,0.22,5014400,UNH
1987-01-05,0.21,0.21,0.21,0.21,9180800,UNH
1987-01-12,0.2,0.21,0.2,0.21,15280000,UNH
1987-01-19,0.18,0.2,0.16,0.2,45862400,UNH
1987-01-26,0.17,0.18,0.17,0.18,7916800,UNH
1987-02-02,0.2,0.21,0.17,0.17,12492800,UNH
1987-02-09,0.2,0.21,0.19,0.2,8867200,UNH
1987-02-16,0.2,0.21,0.19,0.2,5212800,UNH
1987-02-23,0.18,0.2,0.18,0.2,7625600,UNH
1987-03-02,0.2,0.21,0.17,0.18,28649600,UNH
1987-03-09,0.21,0.22,0.2,0.2,13264000,UNH
