Date,Close,High,Low,Open,Volume,Symbol
2013-02-01,28.04,28.7,27.55,28.48,66789100,ZTS
2013-02-04,28.05,28.92,27.81,28.11,7695400,ZTS
2013-02-05,28.06,28.91,27.89,28.25,5013200,ZTS
2013-02-06,28.06,28.42,27.8,28.01,2126100,ZTS
2013-02-07,28.93,29.59,28.03,28.03,3800800,ZTS
2013-02-08,29.88,30.27,29.2,29.21,2599300,ZTS
2013-02-11,30.07,30.29,29.73,29.89,1487200,ZTS
2013-02-12,30.51,30.74,29.97,30.2,1637300,ZTS
2013-02-13,30.33,30.56,29.84,30.56,1269700,ZTS
2013-02-14,30.08,30.24,29.63,30.19,2954500,ZTS
2013-02-15,30.72,30.82,29.84,30.12,5415400,ZTS
2013-02-19,30.6,30.8,30.35,30.76,1206900,ZTS
2013-02-20,29.58,30.63,29.47,30.6,1842900,ZTS
2013-02-21,29.44,29.66,28.81,29.38,3242300,ZTS
2013-02-22,29.47,29.77,29.38,29.64,954500,ZTS
2013-02-25,29.0,29.56,28.93,29.55,818900,ZTS
2013-02-26,28.97,29.29,28.92,28.98,1048700,ZTS
2013-02-27,29.22,29.88,28.93,28.93,1343600,ZTS
2013-02-28,30.24,30.33,29.44,29.44,2991400,ZTS
2013-03-01,31.28,31.37,29.97,30.16,2334000,ZTS
2013-03-04,31.06,31.55,30.96,31.46,865400,ZTS
2013-03-05,31.0,31.17,30.51,31.11,1413400,ZTS
2013-03-06,30.61,31.08,30.61,31.05,802000,ZTS
2013-03-07,31.25,31.36,30.34,30.7,1320000,ZTS
2013-03-08,30.82,31.36,30.56,30.77,1541100,ZTS
2013-03-11,30.9,30.98,30.06,30.71,1729400,ZTS
2013-03-12,30.58,30.96,30.38,30.85,1557600,ZTS
2013-03-13,30.74,30.79,29.91,30.65,2240800,ZTS
2013-03-14,31.32,32.02,31.01,31.04,1865200,ZTS
2013-03-15,30.23,31.5,30.12,31.37,2692100,ZTS
2013-03-18,29.69,29.78,29.51,29.61,2372000,ZTS
2013-03-19,29.66,30.22,29.23,29.66,1336200,ZTS
2013-03-20,30.3,30.32,29.38,29.75,1944000,ZTS
2013-03-21,30.26,30.74,30.1,30.65,514500,ZTS
2013-03-22,29.95,30.51,29.6,30.33,763300,ZTS
2013-03-25,29.35,30.27,29.16,30.27,1324600,ZTS
2013-03-26,29.39,29.65,28.93,29.59,1396500,ZTS
2013-03-27,29.6,29.74,28.99,29.28,1896800,ZTS
2013-03-28,30.2,30.29,29.5,29.7,7434900,ZTS
