Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2003-12-29 00:00:00,0.18,0.14,N/A
NVDA,ACT_SL,2004-01-05 00:00:00,N/A,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15
NVDA,ACT_SL,2004-03-29 00:00:00,N/A,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16
NVDA,VENTA EMA Lenta Descendente (Filtro),2004-05-17 00:00:00,0.18,N/A,0.16,Cerrada,-1108.88,-11.11,0,Cierre tecnico,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2004-05-31 00:00:00,0.17,0.13,N/A
NVDA,VENTA EMA Lenta Descendente (Filtro),2004-06-14 00:00:00,0.17,N/A,0.15,Cerrada,-1039.48,-11.76,0,Cierre tecnico,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: Stoch Slow Cruce & Ascendente),2004-08-16 00:00:00,0.09,0.07,N/A
NVDA,VENTA EMA Lenta Descendente (Filtro),2004-08-23 00:00:00,0.09,N/A,0.1,Cerrada,862.79,11.11,0,Cierre tecnico,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2004-11-29 00:00:00,0.16,0.12,N/A
NVDA,ACT_SL,2004-12-06 00:00:00,N/A,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14
NVDA,ACT_SL,2005-01-31 00:00:00,N/A,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15
NVDA,ACT_SL,2005-02-14 00:00:00,N/A,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16
NVDA,ACT_SL,2005-02-28 00:00:00,N/A,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17
NVDA,VENTA StopLoss,2005-04-11 00:00:00,0.16,0.17,0.16,Cerrada,0.0,0.0,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2005-04-25 00:00:00,0.17,0.13,N/A
NVDA,ACT_SL,2005-05-02 00:00:00,N/A,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14
NVDA,ACT_SL,2005-05-09 00:00:00,N/A,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14
NVDA,ACT_SL,2005-05-16 00:00:00,N/A,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15
NVDA,ACT_SL,2005-05-23 00:00:00,N/A,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16
NVDA,ACT_SL,2005-05-30 00:00:00,N/A,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16
NVDA,ACT_SL,2005-08-08 00:00:00,N/A,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17
NVDA,ACT_SL,2005-08-15 00:00:00,N/A,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18
NVDA,ACT_SL,2005-09-05 00:00:00,N/A,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19
NVDA,ACT_SL,2005-09-12 00:00:00,N/A,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2
NVDA,ACT_SL,2005-10-03 00:00:00,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2
NVDA,ACT_SL,2005-11-07 00:00:00,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21
NVDA,ACT_SL,2005-11-21 00:00:00,N/A,0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22
NVDA,ACT_SL,2006-01-02 00:00:00,N/A,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23
NVDA,ACT_SL,2006-01-09 00:00:00,N/A,0.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26
NVDA,ACT_SL,2006-01-16 00:00:00,N/A,0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26
NVDA,ACT_SL,2006-01-23 00:00:00,N/A,0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.27
NVDA,ACT_SL,2006-02-13 00:00:00,N/A,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29
NVDA,ACT_SL,2006-03-20 00:00:00,N/A,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3
NVDA,ACT_SL,2006-03-27 00:00:00,N/A,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.33
NVDA,ACT_SL,2006-04-03 00:00:00,N/A,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35
NVDA,ACT_SL,2006-05-01 00:00:00,N/A,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.36
NVDA,ACT_SL,2006-05-08 00:00:00,N/A,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.37
NVDA,VENTA StopLoss,2006-05-29 00:00:00,0.17,0.37,0.36,Cerrada,9566.12,111.76,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2006-06-05 00:00:00,0.33,0.25,N/A
NVDA,ACT_SL,2006-06-12 00:00:00,N/A,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26
NVDA,VENTA EMA Lenta Descendente (Filtro),2006-07-17 00:00:00,0.33,N/A,0.27,Cerrada,-3282.3,-18.18,0,Cierre tecnico,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2006-07-31 00:00:00,0.37,0.28,N/A
NVDA,ACT_SL,2006-08-07 00:00:00,N/A,0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29
NVDA,ACT_SL,2006-08-14 00:00:00,N/A,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32
NVDA,ACT_SL,2006-08-28 00:00:00,N/A,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34
